,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
389,Shane Warne,4.0,21,4,13,5.25,6.0,DEC,Vidarbha Cricket Association Stadium,05 April 2010
390,Chaminda Vaas,4.0,21,3,13,5.25,8.0,CSK,Chidambaram,14 March 2010
391,Andrew Symonds,4.0,21,3,9,5.25,8.0,DC,Barabati Stadium,21 March 2010
392,RP Singh,4.0,21,2,10,5.25,12.0,RCB,Vidarbha Cricket Association Stadium,12 April 2010
393,Ashok Dinda,4.0,21,2,12,5.25,12.0,DC,Eden Gardens,07 April 2010
394,Yuvraj Singh,4.0,21,2,11,5.25,12.0,DEC,Barabati Stadium,19 March 2010
395,Ryan McLaren,4.0,21,1,8,5.25,24.0,RCB,M. Chinnaswamy Stadium,17 April 2010
396,Praveen Kumar,4.0,21,1,11,5.25,24.0,CSK,M. Chinnaswamy Stadium,23 March 2010
397,Harmeet Singh Bansal,4.0,21,1,10,5.25,24.0,CSK,Vidarbha Cricket Association Stadium,10 April 2010
398,Chaminda Vaas,4.0,21,1,12,5.25,24.0,DC,Barabati Stadium,21 March 2010
399,Harbhajan Singh,4.0,21,1,8,5.25,24.0,RR,Sawai Mansingh Stadium,11 April 2010
400,Murali Kartik,4.0,21,1,8,5.25,24.0,MI,Brabourne Stadium,22 March 2010
401,Murali Kartik,4.0,21,0,9,5.25,0.0,CSK,Eden Gardens,16 March 2010
402,Muttiah Muralitharan,4.0,21,0,9,5.25,0.0,RCB,Chidambaram,31 March 2010
403,Harbhajan Singh,3.0,16,2,9,5.33,9.0,DEC,Brabourne Stadium,03 April 2010
404,Irfan Pathan,3.0,16,1,7,5.33,18.0,DEC,Barabati Stadium,19 March 2010
405,Lasith Malinga,4.0,22,4,10,5.5,6.0,PBKS,Brabourne Stadium,30 March 2010
406,Pradeep Sangwan,4.0,22,3,7,5.5,8.0,RCB,Arun Jaitley Stadium,04 April 2010
407,Shaun Tait,4.0,22,3,10,5.5,8.0,DEC,Narendra Modi Stadium,26 March 2010
408,Shaun Tait,4.0,22,2,11,5.5,12.0,CSK,Narendra Modi Stadium,28 March 2010
409,Pragyan Ojha,4.0,22,2,11,5.5,12.0,RCB,Vidarbha Cricket Association Stadium,12 April 2010
410,Dwayne Bravo,2.0,11,2,6,5.5,6.0,DC,Arun Jaitley Stadium,17 March 2010
411,Ajantha Mendis,4.0,22,2,6,5.5,12.0,DC,Eden Gardens,07 April 2010
412,Ravichandran Ashwin,4.0,22,2,10,5.5,12.0,MI,Chidambaram,06 April 2010
413,Siddharth Trivedi,4.0,22,2,9,5.5,12.0,PBKS,Sawai Mansingh Stadium,07 April 2010
414,Lasith Malinga,4.0,22,2,9,5.5,12.0,RR,Brabourne Stadium,13 March 2010
415,Murali Kartik,4.0,22,2,9,5.5,12.0,RCB,Eden Gardens,14 March 2010
416,Ravichandran Ashwin,4.0,22,1,11,5.5,24.0,KKR,Eden Gardens,16 March 2010
417,Shane Warne,4.0,22,1,6,5.5,24.0,DC,Narendra Modi Stadium,15 March 2010
418,Juan Theron,2.0,11,1,2,5.5,12.0,DC,Arun Jaitley Stadium,11 April 2010
419,Andrew Symonds,4.0,22,1,9,5.5,24.0,PBKS,Barabati Stadium,19 March 2010
420,Ramesh Powar,4.0,22,1,14,5.5,24.0,CSK,Chidambaram,21 March 2010
421,Harmeet Singh Bansal,4.0,22,1,9,5.5,24.0,CSK,DY Patil Stadium,22 April 2010
422,Rajagopal Sathish,2.0,11,1,6,5.5,12.0,KKR,Eden Gardens,19 April 2010
423,Dirk Nannes,4.0,22,0,11,5.5,0.0,DEC,Arun Jaitley Stadium,18 April 2010
424,Angelo Mathews,2.0,11,0,4,5.5,0.0,DC,Arun Jaitley Stadium,29 March 2010
425,Siddharth Trivedi,2.5,16,3,8,5.64,5.66,DEC,Vidarbha Cricket Association Stadium,05 April 2010
426,Murali Kartik,3.0,17,1,8,5.66,18.0,DEC,DY Patil Stadium,12 March 2010
427,Shane Watson,3.0,17,0,13,5.66,0.0,KKR,Eden Gardens,17 April 2010
428,Andrew Symonds,3.0,17,0,7,5.66,0.0,RCB,DY Patil Stadium,24 April 2010
429,Pragyan Ojha,3.5,22,0,12,5.73,0.0,RCB,DY Patil Stadium,24 April 2010
430,Albie Morkel,4.0,23,2,13,5.75,12.0,PBKS,Chidambaram,21 March 2010
431,Yusuf Pathan,4.0,23,2,10,5.75,12.0,KKR,Narendra Modi Stadium,20 March 2010
432,Dilhara Fernando,4.0,23,2,12,5.75,12.0,CSK,DY Patil Stadium,25 April 2010
433,Amit Mishra,4.0,23,2,6,5.75,12.0,RCB,M. Chinnaswamy Stadium,25 March 2010
434,Andrew Symonds,4.0,23,1,10,5.75,24.0,CSK,Vidarbha Cricket Association Stadium,10 April 2010
435,Amit Mishra,4.0,23,1,10,5.75,24.0,PBKS,IS Bindra Stadium,13 March 2010
436,Ryan McLaren,4.0,23,1,11,5.75,24.0,CSK,Brabourne Stadium,25 March 2010
437,Shadab Jakati,4.0,23,1,10,5.75,24.0,KKR,Chidambaram,13 April 2010
438,Harbhajan Singh,4.0,23,1,11,5.75,24.0,CSK,Chidambaram,06 April 2010
439,Ramesh Powar,4.0,23,0,10,5.75,0.0,KKR,Eden Gardens,04 April 2010
440,Lasith Malinga,4.0,23,0,10,5.75,0.0,RR,Sawai Mansingh Stadium,11 April 2010
441,Piyush Chawla,4.0,24,3,9,6.0,8.0,MI,IS Bindra Stadium,09 April 2010
442,Harmeet Singh Bansal,4.0,24,2,9,6.0,12.0,RCB,Vidarbha Cricket Association Stadium,12 April 2010
443,Shanthakumaran Sreesanth,4.0,24,2,10,6.0,12.0,DC,IS Bindra Stadium,13 March 2010
444,Shane Bond,4.0,24,2,8,6.0,12.0,MI,Eden Gardens,19 April 2010
445,Shane Bond,4.0,24,2,13,6.0,12.0,PBKS,IS Bindra Stadium,27 March 2010
446,Jaskaran Singh,3.0,18,2,8,6.0,9.0,KKR,Eden Gardens,01 April 2010
447,Umesh Yadav,4.0,24,2,12,6.0,12.0,DEC,Arun Jaitley Stadium,18 April 2010
448,Pragyan Ojha,4.0,24,2,12,6.0,12.0,MI,DY Patil Stadium,28 March 2010
449,Ashok Dinda,4.0,24,2,10,6.0,12.0,RR,Eden Gardens,17 April 2010
450,JP Duminy,2.0,3,1,9,1.5,12.0,MI,Wankhede Stadium,14 May 2011
451,Rahul Sharma,4.0,7,2,17,1.75,12.0,MI,DY Patil Stadium,04 May 2011
452,Brett Lee,4.0,8,0,15,2.0,0.0,CSK,Eden Gardens,07 May 2011
453,Amit Mishra,4.0,9,4,16,2.25,6.0,PBKS,HPCA Stadium,21 May 2011
454,Lasith Malinga,4.0,9,3,13,2.25,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
455,Shanthakumaran Sreesanth,4.0,10,2,15,2.5,12.0,DC,Jawaharlal Nehru Stadium,30 April 2011
456,Morne Morkel,4.0,11,1,13,2.75,24.0,RR,Sawai Mansingh Stadium,12 April 2011
457,Johan Botha,2.0,6,3,7,3.0,4.0,MI,Sawai Mansingh Stadium,29 April 2011
458,Wayne Parnell,4.0,12,2,13,3.0,12.0,PBKS,IS Bindra Stadium,08 May 2011
459,Jesse Ryder,3.0,9,1,11,3.0,18.0,PBKS,DY Patil Stadium,10 April 2011
460,Amit Mishra,4.0,12,1,11,3.0,24.0,KTK,Jawaharlal Nehru Stadium,27 April 2011
461,Yusuf Pathan,2.0,6,1,6,3.0,12.0,DC,Arun Jaitley Stadium,28 April 2011
462,Brad Hodge,4.0,13,4,16,3.25,6.0,RR,Holkar Cricket Stadium,15 May 2011
463,Rahul Sharma,4.0,13,3,17,3.25,8.0,RR,Sawai Mansingh Stadium,01 May 2011
464,Shane Warne,4.0,13,1,13,3.25,24.0,MI,Sawai Mansingh Stadium,29 April 2011
465,Charl Langeveldt,3.0,10,2,9,3.33,9.0,KKR,M. Chinnaswamy Stadium,14 May 2011
466,Munaf Patel,3.0,10,0,7,3.33,0.0,RCB,M. Chinnaswamy Stadium,12 April 2011
467,Munaf Patel,2.2,8,3,10,3.42,4.66,PWI,Wankhede Stadium,20 April 2011
468,Sreenath Aravind,4.0,14,4,14,3.5,6.0,PBKS,M. Chinnaswamy Stadium,06 May 2011
469,Amit Mishra,4.0,14,2,14,3.5,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
470,Raiphi Gomez,4.0,14,2,14,3.5,12.0,KKR,Jawaharlal Nehru Stadium,05 May 2011
471,Amit Singh,4.0,14,2,15,3.5,12.0,MI,Sawai Mansingh Stadium,29 April 2011
472,Daniel Vettori,4.0,14,1,10,3.5,24.0,PBKS,M. Chinnaswamy Stadium,06 May 2011
473,Ashok Dinda,2.0,7,0,7,3.5,0.0,MI,Arun Jaitley Stadium,10 April 2011
