,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
593,P Parameswaran,4.0,21,0,9,5.25,0.0,KKR,Jawaharlal Nehru Stadium,05 May 2011
594,Shrikant Wagh,3.0,16,3,11,5.33,6.0,PBKS,DY Patil Stadium,10 April 2011
595,Jacques Kallis,3.0,16,2,8,5.33,9.0,RCB,M. Chinnaswamy Stadium,14 May 2011
596,Yusuf Pathan,3.0,16,1,6,5.33,18.0,KTK,Jawaharlal Nehru Stadium,05 May 2011
597,Suresh Raina,3.0,16,0,8,5.33,0.0,PWI,DY Patil Stadium,27 April 2011
598,Vinay Kumar,3.0,16,0,8,5.33,0.0,CSK,Jawaharlal Nehru Stadium,18 April 2011
599,Lasith Malinga,3.2,18,2,12,5.4,10.0,DC,Wankhede Stadium,07 May 2011
600,Dale Steyn,4.0,8,3,18,2.0,8.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
601,Ben Hilfenhaus,4.0,8,2,15,2.0,12.0,RR,Sawai Mansingh Stadium,10 May 2012
602,Praveen Kumar,4.0,8,0,16,2.0,0.0,RCB,M. Chinnaswamy Stadium,02 May 2012
603,Dale Steyn,4.0,10,2,17,2.5,12.0,MI,Wankhede Stadium,29 April 2012
604,Marlon Samuels,2.0,5,1,7,2.5,12.0,RCB,M. Chinnaswamy Stadium,17 April 2012
605,Umesh Yadav,4.0,11,2,15,2.75,12.0,MI,Wankhede Stadium,16 April 2012
606,Lakshmipathy Balaji,4.0,11,2,15,2.75,12.0,MI,Wankhede Stadium,16 May 2012
607,Sunil Narine,4.0,11,1,13,2.75,24.0,RCB,Eden Gardens,28 April 2012
608,Dale Steyn,4.0,12,3,14,3.0,8.0,MI,ACA-VDCA Stadium,09 April 2012
609,Bhuvneshwar Kumar,3.0,9,2,8,3.0,9.0,MI,Maharashtra Cricket Association's International Stadium,03 May 2012
610,Parvinder Awana,4.0,12,2,15,3.0,12.0,CSK,HPCA Stadium,17 May 2012
611,Irfan Pathan,4.0,12,1,13,3.0,24.0,MI,Wankhede Stadium,16 April 2012
612,Shahbaz Nadeem,3.0,9,0,10,3.0,0.0,CSK,Arun Jaitley Stadium,10 April 2012
613,Ajit Chandila,4.0,13,4,15,3.25,6.0,PWI,Sawai Mansingh Stadium,13 May 2012
614,Shaun Tait,4.0,13,3,14,3.25,8.0,PWI,Maharashtra Cricket Association's International Stadium,08 May 2012
615,Harbhajan Singh,4.0,13,2,15,3.25,12.0,DEC,Wankhede Stadium,29 April 2012
616,Lasith Malinga,4.0,13,2,17,3.25,12.0,RR,Wankhede Stadium,11 April 2012
617,Sunil Narine,4.0,13,1,14,3.25,24.0,PWI,Eden Gardens,05 May 2012
618,Dwayne Bravo,3.0,10,2,10,3.33,9.0,MI,M. Chinnaswamy Stadium,23 May 2012
619,Rajat Bhatia,4.0,14,2,12,3.5,12.0,PBKS,Eden Gardens,15 April 2012
620,Jacques Kallis,2.0,7,2,8,3.5,6.0,RCB,M. Chinnaswamy Stadium,10 April 2012
621,Sunil Narine,4.0,14,2,13,3.5,12.0,CSK,Eden Gardens,14 May 2012
622,Kieron Pollard,4.0,14,2,14,3.5,12.0,PBKS,Wankhede Stadium,22 April 2012
623,Kieron Pollard,4.0,15,2,11,3.75,12.0,CSK,Chidambaram,04 April 2012
624,Praveen Kumar,4.0,15,2,12,3.75,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
625,Albie Morkel,4.0,15,1,13,3.75,24.0,DC,Chidambaram,12 May 2012
626,Sunil Narine,4.0,15,1,12,3.75,24.0,PWI,Maharashtra Cricket Association's International Stadium,19 May 2012
627,Brett Lee,4.0,15,1,15,3.75,24.0,DEC,Barabati Stadium,22 April 2012
628,Zaheer Khan,4.0,15,1,17,3.75,24.0,RR,M. Chinnaswamy Stadium,15 April 2012
629,Roelof van der Merwe,4.0,15,0,11,3.75,0.0,CSK,Arun Jaitley Stadium,10 April 2012
630,Ravindra Jadeja,4.0,16,5,17,4.0,4.8,DEC,ACA-VDCA Stadium,07 April 2012
631,Shahbaz Nadeem,4.0,16,3,9,4.0,8.0,DEC,Arun Jaitley Stadium,19 April 2012
632,Muttiah Muralitharan,4.0,16,2,11,4.0,12.0,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
633,Dale Steyn,4.0,16,2,12,4.0,12.0,RR,Rajiv Gandhi Intl. Cricket Stadium,18 May 2012
634,Shahbaz Nadeem,4.0,16,2,15,4.0,12.0,MI,Wankhede Stadium,16 April 2012
635,Lasith Malinga,4.0,16,2,12,4.0,12.0,PWI,Wankhede Stadium,06 April 2012
636,Shikhar Dhawan,2.0,8,1,4,4.0,12.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
637,Muttiah Muralitharan,4.0,16,1,10,4.0,24.0,MI,M. Chinnaswamy Stadium,14 May 2012
638,Dwayne Smith,2.0,8,1,6,4.0,12.0,KKR,Wankhede Stadium,16 May 2012
639,Stuart Binny,3.0,12,1,7,4.0,18.0,PWI,Maharashtra Cricket Association's International Stadium,08 May 2012
640,Rahul Sharma,4.0,16,1,12,4.0,24.0,MI,Wankhede Stadium,06 April 2012
641,Umesh Yadav,2.0,8,0,5,4.0,0.0,RCB,M. Chinnaswamy Stadium,07 April 2012
642,Ravichandran Ashwin,3.0,12,0,10,4.0,0.0,DEC,ACA-VDCA Stadium,07 April 2012
643,Zaheer Khan,4.0,16,0,14,4.0,0.0,MI,Wankhede Stadium,09 May 2012
644,Lasith Malinga,3.5,16,2,13,4.17,11.5,CSK,Chidambaram,04 April 2012
645,Shakib Al Hasan,4.0,17,3,11,4.25,8.0,RR,Eden Gardens,13 April 2012
646,Pragyan Ojha,4.0,17,2,9,4.25,12.0,CSK,Chidambaram,04 April 2012
647,Angelo Mathews,4.0,17,2,9,4.25,12.0,KKR,Eden Gardens,05 May 2012
648,Munaf Patel,4.0,17,1,13,4.25,24.0,KKR,Wankhede Stadium,16 May 2012
649,Ravichandran Ashwin,4.0,17,1,9,4.25,24.0,DC,Chidambaram,12 May 2012
650,Nuwan Kulasekara,4.0,17,1,13,4.25,24.0,RR,Chidambaram,21 April 2012
651,Abhishek Jhunjhunwala,3.0,13,1,8,4.33,18.0,CSK,Chidambaram,04 May 2012
652,Ashok Dinda,3.0,13,1,8,4.33,18.0,PBKS,Maharashtra Cricket Association's International Stadium,08 April 2012
653,Lasith Malinga,3.4,16,4,12,4.36,5.5,DEC,Wankhede Stadium,29 April 2012
654,Ashok Dinda,4.0,18,4,15,4.5,6.0,MI,Wankhede Stadium,06 April 2012
655,Pawan Negi,4.0,18,4,13,4.5,6.0,RR,Sawai Mansingh Stadium,01 May 2012
656,Lakshmipathy Balaji,4.0,18,4,13,4.5,6.0,RCB,M. Chinnaswamy Stadium,10 April 2012
657,Piyush Chawla,4.0,18,3,11,4.5,8.0,KKR,Eden Gardens,15 April 2012
658,Dhawal Kulkarni,4.0,18,3,15,4.5,8.0,RR,Sawai Mansingh Stadium,20 May 2012
659,Harbhajan Singh,4.0,18,2,13,4.5,12.0,PWI,Maharashtra Cricket Association's International Stadium,03 May 2012
660,Vinay Kumar,4.0,18,2,12,4.5,12.0,KKR,M. Chinnaswamy Stadium,10 April 2012
661,Shaun Tait,4.0,18,2,13,4.5,12.0,PBKS,IS Bindra Stadium,05 May 2012
662,Siddharth Trivedi,4.0,18,2,13,4.5,12.0,CSK,Sawai Mansingh Stadium,10 May 2012
663,Praveen Kumar,4.0,18,2,14,4.5,12.0,CSK,HPCA Stadium,17 May 2012
664,Pankaj Singh,4.0,18,2,14,4.5,12.0,RCB,M. Chinnaswamy Stadium,15 April 2012
665,Wayne Parnell,4.0,18,2,12,4.5,12.0,KKR,Maharashtra Cricket Association's International Stadium,19 May 2012
666,Umesh Yadav,2.0,9,2,5,4.5,6.0,KKR,Eden Gardens,05 April 2012
667,Shakib Al Hasan,4.0,18,2,11,4.5,12.0,PWI,Maharashtra Cricket Association's International Stadium,19 May 2012
668,Ankit Sharma,2.0,9,1,5,4.5,12.0,PWI,Barabati Stadium,01 May 2012
669,Pawan Negi,4.0,18,1,11,4.5,24.0,KKR,Maharashtra Cricket Association's International Stadium,22 May 2012
670,Brad Hogg,4.0,18,1,9,4.5,24.0,CSK,Chidambaram,21 April 2012
671,Michael Clarke,2.0,9,0,3,4.5,0.0,MI,Maharashtra Cricket Association's International Stadium,03 May 2012
672,Anand Rajan,2.0,9,0,4,4.5,0.0,MI,ACA-VDCA Stadium,09 April 2012
673,Harbhajan Singh,4.0,18,0,12,4.5,0.0,DEC,ACA-VDCA Stadium,09 April 2012
674,Wayne Parnell,4.0,18,0,9,4.5,0.0,MI,Maharashtra Cricket Association's International Stadium,03 May 2012
675,Ankit Sharma,4.0,18,0,14,4.5,0.0,MI,ACA-VDCA Stadium,09 April 2012
676,Harbhajan Singh,4.0,18,0,10,4.5,0.0,RCB,Wankhede Stadium,09 May 2012
677,Muttiah Muralitharan,4.0,18,0,10,4.5,0.0,DEC,M. Chinnaswamy Stadium,06 May 2012
678,David Hussey,2.0,9,0,2,4.5,0.0,RCB,M. Chinnaswamy Stadium,02 May 2012
679,Parvinder Awana,4.0,18,0,10,4.5,0.0,PWI,IS Bindra Stadium,12 April 2012
680,Murali Kartik,3.0,14,2,8,4.66,9.0,MI,Wankhede Stadium,06 April 2012
681,Dwayne Bravo,3.0,14,1,9,4.66,18.0,MI,Chidambaram,04 April 2012
682,Rajat Bhatia,3.0,14,1,6,4.66,18.0,PWI,Maharashtra Cricket Association's International Stadium,19 May 2012
683,Angelo Mathews,3.0,14,1,9,4.66,18.0,RCB,Maharashtra Cricket Association's International Stadium,11 May 2012
684,Harbhajan Singh,3.0,14,0,7,4.66,0.0,CSK,Wankhede Stadium,06 May 2012
685,Dan Christian,3.0,14,0,10,4.66,0.0,MI,Wankhede Stadium,29 April 2012
686,Sunil Narine,3.1,15,4,12,4.73,4.75,MI,Wankhede Stadium,16 May 2012
687,Sunil Narine,4.0,19,5,13,4.75,4.8,PBKS,Eden Gardens,15 April 2012
688,KP Appanna,4.0,19,4,14,4.75,6.0,RR,Sawai Mansingh Stadium,23 April 2012
689,Umesh Yadav,4.0,19,3,14,4.75,8.0,PBKS,HPCA Stadium,19 May 2012
690,Ryan Harris,4.0,19,2,15,4.75,12.0,DC,HPCA Stadium,19 May 2012
691,Dale Steyn,4.0,19,2,12,4.75,12.0,DC,Arun Jaitley Stadium,19 April 2012
692,Piyush Chawla,4.0,19,2,11,4.75,12.0,KKR,IS Bindra Stadium,18 April 2012
693,Ashish Nehra,4.0,19,2,15,4.75,12.0,MI,Maharashtra Cricket Association's International Stadium,03 May 2012
694,Varun Aaron,4.0,19,2,10,4.75,12.0,PBKS,Arun Jaitley Stadium,15 May 2012
695,Morne Morkel,4.0,19,2,13,4.75,12.0,CSK,Arun Jaitley Stadium,10 April 2012
696,Brad Hogg,4.0,19,1,8,4.75,24.0,RCB,M. Chinnaswamy Stadium,15 April 2012
697,Pragyan Ojha,4.0,19,1,11,4.75,24.0,DC,Wankhede Stadium,16 April 2012
698,Ravichandran Ashwin,4.0,19,1,13,4.75,24.0,RR,Chidambaram,21 April 2012
699,Ankit Sharma,4.0,19,1,11,4.75,24.0,KKR,Barabati Stadium,22 April 2012
700,Yusuf Pathan,4.0,19,1,14,4.75,24.0,RCB,Eden Gardens,28 April 2012
701,Kevon Cooper,4.0,19,0,11,4.75,0.0,DC,Arun Jaitley Stadium,29 April 2012
702,Ravichandran Ashwin,4.0,19,0,6,4.75,0.0,PWI,Maharashtra Cricket Association's International Stadium,14 April 2012
703,Piyush Chawla,4.0,19,0,8,4.75,0.0,MI,Wankhede Stadium,22 April 2012
704,Praveen Kumar,4.0,19,0,17,4.75,0.0,PWI,IS Bindra Stadium,12 April 2012
705,Morne Morkel,4.0,20,4,16,5.0,6.0,PBKS,HPCA Stadium,19 May 2012
706,Munaf Patel,4.0,20,4,12,5.0,6.0,DEC,ACA-VDCA Stadium,09 April 2012
707,Azhar Mahmood,4.0,20,3,10,5.0,8.0,RCB,M. Chinnaswamy Stadium,02 May 2012
708,Jacques Kallis,4.0,20,2,11,5.0,12.0,DC,Arun Jaitley Stadium,07 May 2012
709,Nuwan Kulasekara,2.0,10,2,9,5.0,6.0,PWI,Chidambaram,19 April 2012
710,Amit Mishra,4.0,20,2,9,5.0,12.0,RR,Rajiv Gandhi Intl. Cricket Stadium,18 May 2012
711,Piyush Chawla,4.0,20,2,11,5.0,12.0,CSK,Chidambaram,28 April 2012
712,Siddharth Trivedi,4.0,20,2,12,5.0,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2012
713,Daniel Vettori,4.0,20,1,6,5.0,24.0,RR,M. Chinnaswamy Stadium,15 April 2012
714,Brad Hogg,4.0,20,1,12,5.0,24.0,KKR,Eden Gardens,13 April 2012
715,Lakshmipathy Balaji,4.0,20,1,9,5.0,24.0,PBKS,IS Bindra Stadium,18 April 2012
716,Ben Hilfenhaus,4.0,20,1,15,5.0,24.0,PBKS,HPCA Stadium,17 May 2012
717,Glenn Maxwell,2.0,10,1,5,5.0,12.0,RCB,M. Chinnaswamy Stadium,07 April 2012
718,Irfan Pathan,4.0,20,1,11,5.0,24.0,KKR,Maharashtra Cricket Association's International Stadium,22 May 2012
719,Suresh Raina,2.0,10,1,2,5.0,12.0,DEC,ACA-VDCA Stadium,07 April 2012
720,Ajit Chandila,4.0,20,1,12,5.0,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2012
721,Ashok Menaria,2.0,10,0,7,5.0,0.0,CSK,Chidambaram,21 April 2012
722,Angelo Mathews,3.0,15,0,3,5.0,0.0,RR,Maharashtra Cricket Association's International Stadium,08 May 2012
723,Dwayne Smith,2.0,10,0,5,5.0,0.0,RCB,M. Chinnaswamy Stadium,14 May 2012
724,Albie Morkel,4.0,20,0,13,5.0,0.0,MI,Chidambaram,04 April 2012
725,Munaf Patel,3.0,15,0,10,5.0,0.0,DC,Wankhede Stadium,16 April 2012
726,Harshal Patel,2.0,10,0,6,5.0,0.0,DC,M. Chinnaswamy Stadium,07 April 2012
727,Ravichandran Ashwin,4.0,20,0,10,5.0,0.0,MI,Chidambaram,04 April 2012
728,Lasith Malinga,4.0,20,0,14,5.0,0.0,RCB,Wankhede Stadium,09 May 2012
729,Daniel Vettori,4.0,20,0,9,5.0,0.0,RR,Sawai Mansingh Stadium,23 April 2012
730,Ashish Reddy,2.1,11,1,8,5.07,13.0,MI,Wankhede Stadium,29 April 2012
731,Lakshmipathy Balaji,3.5,20,1,10,5.21,23.0,PWI,Maharashtra Cricket Association's International Stadium,19 May 2012
732,Muttiah Muralitharan,4.0,21,3,10,5.25,8.0,CSK,Chidambaram,12 April 2012
733,Umesh Yadav,4.0,21,3,14,5.25,8.0,PBKS,Arun Jaitley Stadium,15 May 2012
734,Yo Mahesh,4.0,21,2,10,5.25,12.0,RR,Sawai Mansingh Stadium,10 May 2012
735,Johan Botha,4.0,21,2,9,5.25,12.0,PBKS,IS Bindra Stadium,05 May 2012
736,Jacques Kallis,4.0,21,2,10,5.25,12.0,CSK,Chidambaram,30 April 2012
737,Zaheer Khan,4.0,21,2,11,5.25,12.0,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
738,Piyush Chawla,4.0,21,1,9,5.25,24.0,RCB,IS Bindra Stadium,20 April 2012
739,Morne Morkel,4.0,21,1,10,5.25,24.0,MI,Arun Jaitley Stadium,27 April 2012
740,Marlon Samuels,4.0,21,1,12,5.25,24.0,MI,Wankhede Stadium,06 April 2012
741,Ravindra Jadeja,4.0,21,1,9,5.25,24.0,RR,Sawai Mansingh Stadium,10 May 2012
742,Brett Lee,4.0,21,0,17,5.25,0.0,RCB,M. Chinnaswamy Stadium,10 April 2012
743,Ravindra Jadeja,4.0,21,0,6,5.25,0.0,PWI,Chidambaram,19 April 2012
744,Rahul Sharma,3.0,16,2,5,5.33,9.0,CSK,Maharashtra Cricket Association's International Stadium,14 April 2012
745,Harbhajan Singh,3.0,16,1,7,5.33,18.0,PWI,Wankhede Stadium,06 April 2012
746,Albie Morkel,3.0,16,1,7,5.33,18.0,DEC,Chidambaram,04 May 2012
747,Varun Aaron,3.4,20,1,8,5.45,22.0,KKR,Arun Jaitley Stadium,07 May 2012
748,Vinay Kumar,4.0,22,3,11,5.5,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
749,Alfonso Thomas,4.0,22,3,13,5.5,8.0,DC,Arun Jaitley Stadium,21 April 2012
750,Stuart Binny,2.0,3,1,9,1.5,12.0,DC,Sawai Mansingh Stadium,07 May 2013
751,Mitchell Johnson,4.0,8,2,16,2.0,12.0,PWI,Maharashtra Cricket Association's International Stadium,11 May 2013
752,Lasith Malinga,3.0,6,2,12,2.0,9.0,CSK,Wankhede Stadium,05 May 2013
753,Amit Mishra,4.0,8,2,18,2.0,12.0,RR,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
754,Karn Sharma,4.0,8,0,16,2.0,0.0,CSK,Chidambaram,25 April 2013
755,Lakshmipathy Balaji,3.0,7,0,13,2.33,0.0,MI,Wankhede Stadium,07 May 2013
756,Praveen Kumar,4.0,10,2,17,2.5,12.0,RR,Sawai Mansingh Stadium,14 April 2013
757,Hanuma Vihari,2.0,5,0,8,2.5,0.0,PBKS,IS Bindra Stadium,11 May 2013
758,Dale Steyn,4.0,11,2,15,2.75,12.0,DC,Arun Jaitley Stadium,12 April 2013
759,Sunil Narine,4.0,11,0,17,2.75,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 May 2013
760,Dale Steyn,3.5,11,3,14,2.86,7.66,PWI,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013
761,Dwayne Bravo,3.0,9,3,9,3.0,6.0,MI,Arun Jaitley Stadium,21 May 2013
762,Ajit Chandila,2.0,6,2,5,3.0,6.0,MI,Sawai Mansingh Stadium,17 April 2013
763,Sunil Narine,4.0,12,2,15,3.0,12.0,PWI,Maharashtra Cricket Association's International Stadium,09 May 2013
764,Bhuvneshwar Kumar,4.0,12,2,15,3.0,12.0,CSK,Chidambaram,15 April 2013
765,Moises Henriques,2.0,6,1,7,3.0,12.0,RR,Sawai Mansingh Stadium,29 April 2013
766,Ryan Harris,4.0,12,1,17,3.0,24.0,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013
767,Sunil Narine,4.0,13,4,14,3.25,6.0,DC,Eden Gardens,03 April 2013
768,RP Singh,4.0,13,3,17,3.25,8.0,RR,M. Chinnaswamy Stadium,20 April 2013
769,Jacques Kallis,4.0,13,3,13,3.25,8.0,SRH,Eden Gardens,14 April 2013
770,Mitchell Johnson,4.0,13,2,14,3.25,12.0,KKR,Wankhede Stadium,07 May 2013
771,Harbhajan Singh,4.0,13,1,13,3.25,24.0,CSK,Wankhede Stadium,05 May 2013
772,Mohit Sharma,3.0,10,3,11,3.33,6.0,DC,Arun Jaitley Stadium,18 April 2013
773,Darren Sammy,3.0,10,2,10,3.33,9.0,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
774,Ankeet Chavan,3.0,10,0,12,3.33,0.0,MI,Sawai Mansingh Stadium,17 April 2013
775,Thisara Perera,3.1,11,2,13,3.47,9.5,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
776,Harbhajan Singh,4.0,14,3,10,3.5,8.0,PBKS,Wankhede Stadium,29 April 2013
777,Jacques Kallis,4.0,14,2,11,3.5,12.0,PBKS,Eden Gardens,26 April 2013
778,Mitchell Marsh,2.0,7,2,6,3.5,6.0,KKR,Maharashtra Cricket Association's International Stadium,09 May 2013
779,Dale Steyn,4.0,14,1,14,3.5,24.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,19 April 2013
780,Harbhajan Singh,4.0,14,1,10,3.5,24.0,PWI,Maharashtra Cricket Association's International Stadium,11 May 2013
781,Sunil Narine,4.0,14,0,14,3.5,0.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
782,Shahbaz Nadeem,2.0,7,0,6,3.5,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
783,David Hussey,4.0,14,0,9,3.5,0.0,DC,Arun Jaitley Stadium,23 April 2013
784,Johan Botha,3.0,11,2,10,3.66,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
785,Ishant Sharma,3.0,11,1,13,3.66,18.0,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
786,Johan Botha,3.0,11,1,10,3.66,18.0,SRH,Arun Jaitley Stadium,12 April 2013
787,Kevon Cooper,4.0,15,3,11,3.75,8.0,KKR,Sawai Mansingh Stadium,08 April 2013
788,Ali Murtaza,4.0,15,3,12,3.75,8.0,DC,Maharashtra Cricket Association's International Stadium,19 May 2013
789,Ishant Sharma,4.0,15,2,15,3.75,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,01 May 2013
790,Ajantha Mendis,4.0,15,1,12,3.75,24.0,MI,Maharashtra Cricket Association's International Stadium,11 May 2013
791,Amit Mishra,4.0,15,1,10,3.75,24.0,DC,Arun Jaitley Stadium,12 April 2013
792,Dale Steyn,4.0,15,1,16,3.75,24.0,RR,Sawai Mansingh Stadium,27 April 2013
793,Amit Mishra,4.0,15,1,13,3.75,24.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,07 April 2013
794,James Faulkner,4.0,16,5,12,4.0,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
795,Pragyan Ojha,4.0,16,2,9,4.0,12.0,CSK,Chidambaram,06 April 2013
796,Albie Morkel,3.0,12,2,11,4.0,9.0,MI,Eden Gardens,26 May 2013
797,Rahul Sharma,4.0,16,2,10,4.0,12.0,RR,Maharashtra Cricket Association's International Stadium,11 April 2013
798,Amit Mishra,4.0,16,1,11,4.0,24.0,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
799,Praveen Kumar,3.0,12,1,11,4.0,18.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 April 2013
800,Irfan Pathan,4.0,16,1,15,4.0,24.0,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
801,Parvinder Awana,4.0,16,1,14,4.0,24.0,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013
802,Amit Mishra,4.0,16,1,15,4.0,24.0,RR,Arun Jaitley Stadium,22 May 2013
803,Chris Morris,3.0,12,1,9,4.0,18.0,KKR,Eden Gardens,20 April 2013
804,Yuvraj Singh,2.0,8,1,6,4.0,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013
805,Dale Steyn,4.0,16,0,13,4.0,0.0,RCB,M. Chinnaswamy Stadium,09 April 2013
806,Parvinder Awana,4.0,16,0,9,4.0,0.0,MI,Wankhede Stadium,29 April 2013
807,Siddarth Kaul,2.0,8,0,10,4.0,0.0,SRH,Arun Jaitley Stadium,12 April 2013
808,James Faulkner,4.0,16,0,13,4.0,0.0,KKR,Eden Gardens,03 May 2013
809,Sunil Narine,4.0,17,3,11,4.25,8.0,MI,Eden Gardens,24 April 2013
810,Jacques Kallis,4.0,17,2,10,4.25,12.0,RCB,JSCA Stadium,12 May 2013
811,James Faulkner,4.0,17,2,13,4.25,12.0,PWI,Maharashtra Cricket Association's International Stadium,11 April 2013
812,Shahbaz Nadeem,4.0,17,2,11,4.25,12.0,SRH,Arun Jaitley Stadium,12 April 2013
813,Dale Steyn,4.0,17,2,12,4.25,12.0,RR,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
814,Murali Kartik,4.0,17,1,15,4.25,24.0,KKR,JSCA Stadium,12 May 2013
815,Bhuvneshwar Kumar,4.0,17,1,11,4.25,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013
816,Siddharth Trivedi,4.0,17,1,14,4.25,24.0,MI,Sawai Mansingh Stadium,17 April 2013
817,Roelof van der Merwe,4.0,17,1,13,4.25,24.0,PBKS,Arun Jaitley Stadium,23 April 2013
818,Ravi Rampaul,4.0,17,1,13,4.25,24.0,KKR,JSCA Stadium,12 May 2013
819,Dale Steyn,4.0,17,0,13,4.25,0.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
820,Sunil Narine,4.0,17,0,13,4.25,0.0,RCB,M. Chinnaswamy Stadium,11 April 2013
821,Ajit Chandila,3.0,13,2,13,4.33,9.0,SRH,Sawai Mansingh Stadium,27 April 2013
822,Karn Sharma,3.0,13,1,8,4.33,18.0,PWI,Maharashtra Cricket Association's International Stadium,17 April 2013
823,Albie Morkel,3.0,13,1,11,4.33,18.0,DC,Arun Jaitley Stadium,18 April 2013
824,Mohit Sharma,3.0,13,0,12,4.33,0.0,KKR,Eden Gardens,20 April 2013
825,Dirk Nannes,3.5,17,2,14,4.43,11.5,PBKS,IS Bindra Stadium,10 April 2013
826,Vinay Kumar,4.0,18,3,13,4.5,8.0,RR,M. Chinnaswamy Stadium,20 April 2013
827,Bhuvneshwar Kumar,4.0,18,3,16,4.5,8.0,SRH,Maharashtra Cricket Association's International Stadium,17 April 2013
828,Ravichandran Ashwin,4.0,18,2,11,4.5,12.0,DC,Arun Jaitley Stadium,18 April 2013
829,Manpreet Gony,4.0,18,1,15,4.5,24.0,KKR,IS Bindra Stadium,16 April 2013
830,Lasith Malinga,3.2,15,1,9,4.5,20.0,KKR,Wankhede Stadium,07 May 2013
831,Sachithra Senanayake,4.0,18,1,16,4.5,24.0,CSK,Eden Gardens,20 April 2013
832,Shanthakumaran Sreesanth,4.0,18,1,14,4.5,24.0,DC,Arun Jaitley Stadium,06 April 2013
833,Muttiah Muralitharan,4.0,18,1,8,4.5,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,07 April 2013
834,Karn Sharma,2.0,9,1,5,4.5,12.0,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
835,Sachithra Senanayake,4.0,18,1,6,4.5,24.0,SRH,Eden Gardens,14 April 2013
836,Dwayne Bravo,4.0,18,1,10,4.5,24.0,PWI,Maharashtra Cricket Association's International Stadium,30 April 2013
837,Sachithra Senanayake,4.0,18,1,10,4.5,24.0,RCB,JSCA Stadium,12 May 2013
838,Siddharth Trivedi,4.0,18,1,9,4.5,24.0,SRH,Arun Jaitley Stadium,22 May 2013
839,Dirk Nannes,4.0,18,1,8,4.5,24.0,MI,Chidambaram,06 April 2013
840,Yuvraj Singh,2.0,9,0,3,4.5,0.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,28 April 2013
841,Pragyan Ojha,4.0,18,0,10,4.5,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,01 May 2013
842,Angelo Mathews,3.0,14,3,9,4.66,6.0,DC,Maharashtra Cricket Association's International Stadium,19 May 2013
843,Moises Henriques,3.0,14,2,9,4.66,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,07 April 2013
844,Vikramjeet Malik,3.0,14,2,12,4.66,9.0,SRH,Arun Jaitley Stadium,22 May 2013
845,Stuart Binny,3.0,14,2,8,4.66,9.0,MI,Sawai Mansingh Stadium,17 April 2013
846,Harbhajan Singh,3.0,14,2,11,4.66,9.0,CSK,Eden Gardens,26 May 2013
847,Thisara Perera,3.0,14,0,9,4.66,0.0,RR,Arun Jaitley Stadium,22 May 2013
848,Chris Morris,3.0,14,0,11,4.66,0.0,MI,Wankhede Stadium,05 May 2013
849,Ajit Chandila,3.0,14,0,12,4.66,0.0,PBKS,Sawai Mansingh Stadium,14 April 2013
850,Pragyan Ojha,2.2,11,3,8,4.71,4.66,CSK,Wankhede Stadium,05 May 2013
851,Amit Mishra,4.0,19,4,10,4.75,6.0,PWI,Maharashtra Cricket Association's International Stadium,17 April 2013
