,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
442,Suresh Raina,52,42,123.8,4,2,DEC,Vidarbha Cricket Association Stadium,10 April 2010
443,Adrian Barath,33,27,122.22,4,1,MI,IS Bindra Stadium,09 April 2010
444,Naman Ojha,44,37,118.91,4,1,PBKS,Sawai Mansingh Stadium,07 April 2010
445,Graeme Smith,26,22,118.18,4,0,MI,Brabourne Stadium,13 March 2010
446,Sourav Ganguly,42,36,116.66,4,2,MI,Eden Gardens,19 April 2010
447,Cheteshwar Pujara,29,25,116.0,4,0,RR,Narendra Modi Stadium,20 March 2010
448,Sachin Tendulkar,25,22,113.63,4,0,RCB,Brabourne Stadium,20 March 2010
449,Jacques Kallis,19,17,111.76,4,0,CSK,M. Chinnaswamy Stadium,23 March 2010
450,Paul Valthaty,120,63,190.47,19,2,CSK,IS Bindra Stadium,13 April 2011
451,Shikhar Dhawan,95,57,166.66,14,1,PBKS,HPCA Stadium,21 May 2011
452,Virender Sehwag,119,56,212.5,13,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
453,Sachin Tendulkar,100,66,151.51,12,3,KTK,Wankhede Stadium,15 April 2011
454,Gautam Gambhir,75,44,170.45,11,1,RR,Sawai Mansingh Stadium,15 April 2011
455,Michael Hussey,83,56,148.21,11,1,RCB,Chidambaram,16 April 2011
456,Chris Gayle,107,49,218.36,10,9,PBKS,M. Chinnaswamy Stadium,06 May 2011
457,Chris Gayle,102,55,185.45,10,7,KKR,Eden Gardens,22 April 2011
458,Kumar Sangakkara,65,47,138.29,10,0,KTK,Jawaharlal Nehru Stadium,27 April 2011
459,Brendon McCullum,81,60,135.0,10,2,MI,Wankhede Stadium,15 April 2011
460,Rahul Dravid,66,51,129.41,10,0,CSK,Chidambaram,04 May 2011
461,James Hopes,55,44,125.0,10,0,MI,Wankhede Stadium,07 May 2011
462,Shaun Marsh,95,46,206.52,9,6,DC,Arun Jaitley Stadium,23 April 2011
463,Chris Gayle,89,47,189.36,9,5,MI,Chidambaram,27 May 2011
464,Shane Watson,89,47,189.36,9,6,MI,Wankhede Stadium,20 May 2011
