,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1774,Andrew Tye,4.0,38,0,0.0,CSK,Chidambaram,06 April 2019
1775,Ravichandran Ashwin,4.0,38,1,24.0,KKR,IS Bindra Stadium,03 May 2019
1776,Jasprit Bumrah,4.0,38,1,24.0,PBKS,Wankhede Stadium,10 April 2019
1777,Lockie Ferguson,4.0,38,1,24.0,DC,Arun Jaitley Stadium,30 March 2019
1778,Dhawal Kulkarni,4.0,38,1,24.0,MI,Wankhede Stadium,13 April 2019
1779,Mohammed Siraj,4.0,38,2,12.0,MI,M. Chinnaswamy Stadium,28 March 2019
1780,Kagiso Rabada,4.0,38,2,12.0,MI,Arun Jaitley Stadium,18 April 2019
1781,Chris Morris,4.0,38,2,12.0,KKR,Eden Gardens,12 April 2019
1782,Ishant Sharma,4.0,38,3,8.0,RR,Arun Jaitley Stadium,04 May 2019
1783,Yuzvendra Chahal,4.0,38,4,6.0,MI,M. Chinnaswamy Stadium,28 March 2019
1784,Piyush Chawla,3.0,38,0,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
1785,Harshal Patel,4.0,37,0,0.0,PBKS,IS Bindra Stadium,01 April 2019
1786,Trent Boult,4.0,37,0,0.0,CSK,Chidambaram,01 May 2019
1787,Bhuvneshwar Kumar,4.0,37,0,0.0,KKR,Eden Gardens,24 March 2019
1788,Shardul Thakur,4.0,37,0,0.0,MI,Wankhede Stadium,03 April 2019
1789,Lasith Malinga,4.0,37,1,24.0,DC,Arun Jaitley Stadium,18 April 2019
1790,Andrew Tye,4.0,37,1,24.0,KKR,Eden Gardens,27 March 2019
1791,Ravichandran Ashwin,4.0,37,1,24.0,MI,Wankhede Stadium,10 April 2019
1792,Dhawal Kulkarni,4.0,37,1,24.0,PBKS,IS Bindra Stadium,16 April 2019
1793,Sandeep Sharma,4.0,37,1,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
1794,Imran Tahir,4.0,37,1,24.0,MI,Chidambaram,26 April 2019
1795,Harry Gurney,4.0,37,1,24.0,CSK,Eden Gardens,14 April 2019
1796,Dhawal Kulkarni,4.0,37,1,24.0,CSK,Chidambaram,31 March 2019
1797,Kagiso Rabada,4.0,37,2,12.0,RR,Sawai Mansingh Stadium,22 April 2019
1798,Harry Gurney,4.0,37,2,12.0,MI,Eden Gardens,28 April 2019
1799,Shardul Thakur,4.0,37,2,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
1800,Siddarth Kaul,4.0,64,2,12.0,MI,Sharjah Cricket Stadium,04 October 2020
1801,Ankit Rajpoot,4.0,60,0,0.0,MI,Zayed Cricket Stadium,25 October 2020
1802,Dale Steyn,4.0,57,0,0.0,PBKS,Dubai International Stadium,24 September 2020
1803,Chris Jordan,4.0,56,0,0.0,DC,Dubai International Stadium,20 September 2020
1804,Lungi Ngidi,4.0,56,1,24.0,RR,Sharjah Cricket Stadium,22 September 2020
1805,Piyush Chawla,4.0,55,1,24.0,RR,Sharjah Cricket Stadium,22 September 2020
1806,Lockie Ferguson,4.0,54,0,0.0,CSK,Dubai International Stadium,29 October 2020
1807,Kagiso Rabada,4.0,54,0,0.0,SRH,Dubai International Stadium,27 October 2020
1808,Tom Curran,4.0,54,1,24.0,CSK,Sharjah Cricket Stadium,22 September 2020
1809,Adam Zampa,4.0,53,1,24.0,MI,Dubai International Stadium,28 September 2020
1810,Mohammad Shami,4.0,53,3,8.0,RR,Sharjah Cricket Stadium,27 September 2020
1811,Jimmy Neesham,4.0,52,0,0.0,MI,Zayed Cricket Stadium,01 October 2020
1812,Sheldon Cottrell,3.0,52,1,18.0,RR,Sharjah Cricket Stadium,27 September 2020
1813,James Pattinson,4.0,51,0,0.0,RCB,Dubai International Stadium,28 September 2020
1814,Nathan Coulter-Nile,4.0,51,1,24.0,KKR,Zayed Cricket Stadium,16 October 2020
1815,Kagiso Rabada,4.0,51,1,24.0,KKR,Sharjah Cricket Stadium,03 October 2020
1816,Andre Russell,4.0,51,1,24.0,RCB,Sharjah Cricket Stadium,12 October 2020
1817,Jason Holder,4.0,50,1,24.0,DC,Zayed Cricket Stadium,08 November 2020
1818,Anrich Nortje,4.0,50,1,24.0,MI,Dubai International Stadium,05 November 2020
1819,Andrew Tye,4.0,50,1,24.0,DC,Sharjah Cricket Stadium,09 October 2020
1820,Pat Cummins,4.0,49,0,0.0,DC,Sharjah Cricket Stadium,03 October 2020
1821,Varun Chakaravarthy,4.0,49,1,24.0,DC,Sharjah Cricket Stadium,03 October 2020
1822,Pat Cummins,3.0,49,0,0.0,MI,Zayed Cricket Stadium,23 September 2020
1823,Umesh Yadav,4.0,48,0,0.0,SRH,Dubai International Stadium,21 September 2020
1824,Trent Boult,4.0,48,0,0.0,PBKS,Dubai International Stadium,18 October 2020
1825,Shahbaz Nadeem,4.0,48,0,0.0,DC,Zayed Cricket Stadium,08 November 2020
1826,Yuzvendra Chahal,4.0,48,1,24.0,MI,Dubai International Stadium,28 September 2020
