,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1889,Trent Boult,4.0,40,1,24.0,RCB,Zayed Cricket Stadium,28 October 2020
1890,Jimmy Neesham,4.0,40,1,24.0,RR,Sharjah Cricket Stadium,27 September 2020
1891,Isuru Udana,4.0,40,1,24.0,DC,Dubai International Stadium,05 October 2020
1892,Shardul Thakur,4.0,40,2,12.0,RCB,Dubai International Stadium,10 October 2020
1893,T Natarajan,4.0,40,2,12.0,KKR,Zayed Cricket Stadium,18 October 2020
1894,James Pattinson,3.2,40,2,10.0,RR,Zayed Cricket Stadium,25 October 2020
1895,Tom Curran,3.1,40,0,0.0,RCB,Zayed Cricket Stadium,03 October 2020
1896,Ben Stokes,3.0,40,0,0.0,KKR,Dubai International Stadium,01 November 2020
1897,Shivam Mavi,3.0,40,0,0.0,DC,Sharjah Cricket Stadium,03 October 2020
1898,Kamlesh Nagarkoti,3.0,40,0,0.0,PBKS,Zayed Cricket Stadium,10 October 2020
1899,Mujeeb Ur Rahman,4.0,39,0,0.0,SRH,Dubai International Stadium,08 October 2020
1900,Krishnappa Gowtham,4.0,39,0,0.0,DC,Dubai International Stadium,20 September 2020
1901,Kuldeep Yadav,4.0,39,0,0.0,MI,Zayed Cricket Stadium,23 September 2020
1902,Ravi Bishnoi,4.0,39,0,0.0,CSK,Zayed Cricket Stadium,01 November 2020
1903,Ankit Rajpoot,4.0,39,1,24.0,KKR,Dubai International Stadium,30 September 2020
1904,Tushar Deshpande,4.0,39,1,24.0,CSK,Sharjah Cricket Stadium,17 October 2020
1905,Shardul Thakur,4.0,39,1,24.0,DC,Sharjah Cricket Stadium,17 October 2020
1906,Ankit Rajpoot,4.0,39,1,24.0,PBKS,Sharjah Cricket Stadium,27 September 2020
1907,Shardul Thakur,4.0,39,2,12.0,PBKS,Dubai International Stadium,04 October 2020
1908,Lungi Ngidi,4.0,39,3,8.0,PBKS,Zayed Cricket Stadium,01 November 2020
1909,Deepak Chahar,4.0,38,0,0.0,DC,Dubai International Stadium,25 September 2020
1910,Jasprit Bumrah,4.0,38,0,0.0,RR,Zayed Cricket Stadium,25 October 2020
1911,Pat Cummins,4.0,38,0,0.0,RCB,Sharjah Cricket Stadium,12 October 2020
1912,Washington Sundar,4.0,38,0,0.0,PBKS,Sharjah Cricket Stadium,15 October 2020
1913,T Natarajan,4.0,38,0,0.0,MI,Sharjah Cricket Stadium,03 November 2020
1914,Dwayne Bravo,4.0,38,0,0.0,PBKS,Dubai International Stadium,04 October 2020
1915,Shreyas Gopal,4.0,38,1,24.0,CSK,Sharjah Cricket Stadium,22 September 2020
1916,Lungi Ngidi,4.0,38,3,8.0,MI,Zayed Cricket Stadium,19 September 2020
1917,Jofra Archer,3.4,38,0,0.0,RCB,Dubai International Stadium,17 October 2020
1918,Chris Jordan,4.0,37,0,0.0,KKR,Zayed Cricket Stadium,10 October 2020
1919,Navdeep Saini,4.0,37,0,0.0,PBKS,Dubai International Stadium,24 September 2020
1920,Ravi Bishnoi,4.0,37,0,0.0,MI,Zayed Cricket Stadium,01 October 2020
1921,Sunil Narine,4.0,37,0,0.0,DC,Zayed Cricket Stadium,24 October 2020
1922,Sunil Narine,4.0,37,0,0.0,RR,Dubai International Stadium,01 November 2020
1923,Tom Curran,4.0,37,1,24.0,KKR,Dubai International Stadium,30 September 2020
1924,Navdeep Saini,4.0,37,1,24.0,RR,Zayed Cricket Stadium,03 October 2020
1925,Krunal Pandya,4.0,37,1,24.0,CSK,Zayed Cricket Stadium,19 September 2020
1926,Anrich Nortje,4.0,37,1,24.0,SRH,Dubai International Stadium,27 October 2020
1927,Yuzvendra Chahal,4.0,37,2,12.0,MI,Zayed Cricket Stadium,28 October 2020
1928,Karn Sharma,4.0,37,2,12.0,SRH,Dubai International Stadium,13 October 2020
1929,Tushar Deshpande,4.0,37,2,12.0,RR,Dubai International Stadium,14 October 2020
1930,Dwayne Bravo,4.0,37,3,8.0,KKR,Zayed Cricket Stadium,07 October 2020
1931,Rahul Tewatia,4.0,37,3,8.0,CSK,Sharjah Cricket Stadium,22 September 2020
1932,Khaleel Ahmed,3.5,37,2,11.5,RR,Dubai International Stadium,11 October 2020
1933,Krunal Pandya,3.1,37,0,0.0,SRH,Sharjah Cricket Stadium,03 November 2020
1934,Sam Curran,3.0,37,0,0.0,SRH,Dubai International Stadium,02 October 2020
1935,James Pattinson,3.0,37,0,0.0,DC,Zayed Cricket Stadium,11 October 2020
1936,Kamlesh Nagarkoti,4.0,36,0,0.0,RCB,Sharjah Cricket Stadium,12 October 2020
1937,Axar Patel,4.0,36,0,0.0,SRH,Dubai International Stadium,27 October 2020
1938,Sandeep Sharma,4.0,36,0,0.0,RCB,Dubai International Stadium,21 September 2020
1939,Rahul Chahar,4.0,36,0,0.0,SRH,Sharjah Cricket Stadium,03 November 2020
1940,Anrich Nortje,4.0,36,0,0.0,SRH,Zayed Cricket Stadium,08 November 2020
1941,Trent Boult,4.0,36,1,24.0,DC,Zayed Cricket Stadium,11 October 2020
1942,Kieron Pollard,4.0,36,1,24.0,DC,Dubai International Stadium,05 November 2020
1943,Kartik Tyagi,4.0,36,1,24.0,MI,Zayed Cricket Stadium,06 October 2020
1944,Rahul Chahar,4.0,36,1,24.0,CSK,Zayed Cricket Stadium,19 September 2020
1945,Mohammad Shami,4.0,36,1,24.0,MI,Zayed Cricket Stadium,01 October 2020
1946,Chris Morris,4.0,36,1,24.0,MI,Zayed Cricket Stadium,28 October 2020
1947,Kartik Tyagi,4.0,36,2,12.0,KKR,Dubai International Stadium,01 November 2020
1948,Chris Morris,3.4,36,1,22.0,CSK,Dubai International Stadium,25 October 2020
1949,Rahul Chahar,3.0,36,0,0.0,RR,Zayed Cricket Stadium,25 October 2020
1950,Lungi Ngidi,4.0,62,0,0.0,MI,Arun Jaitley Stadium,01 May 2021
1951,Pat Cummins,4.0,58,0,0.0,CSK,Wankhede Stadium,21 April 2021
1952,Sam Curran,4.0,58,1,24.0,KKR,Wankhede Stadium,21 April 2021
1953,Sam Curran,4.0,56,0,0.0,KKR,Zayed Cricket Stadium,26 September 2021
1954,Lockie Ferguson,4.0,56,0,0.0,CSK,Dubai International Stadium,15 October 2021
1955,Siddarth Kaul,4.0,56,0,0.0,MI,Zayed Cricket Stadium,08 October 2021
1956,Shardul Thakur,4.0,56,1,24.0,MI,Arun Jaitley Stadium,01 May 2021
1957,Jasprit Bumrah,4.0,56,1,24.0,CSK,Arun Jaitley Stadium,01 May 2021
1958,Sam Curran,4.0,55,0,0.0,RR,Zayed Cricket Stadium,02 October 2021
1959,Jhye Richardson,4.0,55,1,24.0,RR,Wankhede Stadium,12 April 2021
1960,Josh Hazlewood,4.0,54,0,0.0,RR,Zayed Cricket Stadium,02 October 2021
1961,Harshal Patel,4.0,53,0,0.0,PBKS,Narendra Modi Stadium,30 April 2021
1962,Mohammad Shami,4.0,53,0,0.0,DC,Wankhede Stadium,18 April 2021
1963,Shardul Thakur,3.4,53,2,11.0,DC,Wankhede Stadium,10 April 2021
1964,Jason Holder,4.0,52,4,6.0,MI,Zayed Cricket Stadium,08 October 2021
1965,Mustafizur Rahman,4.0,51,0,0.0,CSK,Zayed Cricket Stadium,02 October 2021
1966,Harshal Patel,4.0,51,3,8.0,CSK,Wankhede Stadium,25 April 2021
1967,Chris Morris,4.0,50,0,0.0,RCB,Dubai International Stadium,29 September 2021
1968,Sandeep Sharma,4.0,50,1,24.0,RR,Arun Jaitley Stadium,02 May 2021
1969,Prasidh Krishna,4.0,49,0,0.0,CSK,Wankhede Stadium,21 April 2021
1970,Riley Meredith,4.0,49,1,24.0,RR,Wankhede Stadium,12 April 2021
1971,Dhawal Kulkarni,4.0,48,0,0.0,CSK,Arun Jaitley Stadium,01 May 2021
1972,Adam Milne,4.0,48,1,24.0,RCB,Dubai International Stadium,26 September 2021
1973,Umran Malik,4.0,48,1,24.0,MI,Zayed Cricket Stadium,08 October 2021
1974,Deepak Chahar,4.0,48,1,24.0,PBKS,Dubai International Stadium,07 October 2021
1975,Shardul Thakur,3.1,48,0,0.0,KKR,Wankhede Stadium,21 April 2021
1976,Chris Morris,4.0,47,0,0.0,PBKS,Dubai International Stadium,21 September 2021
1977,Avesh Khan,4.0,47,1,24.0,CSK,Dubai International Stadium,10 October 2021
1978,Ravichandran Ashwin,4.0,47,1,24.0,CSK,Wankhede Stadium,10 April 2021
1979,Harshal Patel,4.0,47,3,8.0,RR,Wankhede Stadium,22 April 2021
1980,Nathan Ellis,4.0,46,0,0.0,KKR,Dubai International Stadium,01 October 2021
1981,Bhuvneshwar Kumar,4.0,45,0,0.0,MI,Chidambaram,17 April 2021
1982,Mustafizur Rahman,4.0,45,0,0.0,PBKS,Wankhede Stadium,12 April 2021
1983,Rahul Tewatia,4.0,45,1,24.0,SRH,Arun Jaitley Stadium,02 May 2021
1984,Bhuvneshwar Kumar,4.0,45,1,24.0,KKR,Chidambaram,11 April 2021
1985,Jagadeesha Suchith,3.0,45,0,0.0,CSK,Arun Jaitley Stadium,28 April 2021
1986,Shardul Thakur,4.0,44,0,0.0,SRH,Arun Jaitley Stadium,28 April 2021
1987,Mohammed Siraj,4.0,44,1,24.0,DC,Narendra Modi Stadium,27 April 2021
1988,Murugan Ashwin,4.0,43,0,0.0,RR,Wankhede Stadium,12 April 2021
1989,Rahul Chahar,4.0,43,0,0.0,RCB,Chidambaram,09 April 2021
1990,Kagiso Rabada,4.0,43,1,24.0,PBKS,Wankhede Stadium,18 April 2021
1991,Prasidh Krishna,4.0,43,2,12.0,MI,Zayed Cricket Stadium,23 September 2021
1992,Jasprit Bumrah,4.0,43,3,8.0,KKR,Zayed Cricket Stadium,23 September 2021
1993,Khaleel Ahmed,4.0,42,0,0.0,DC,Chidambaram,25 April 2021
1994,Ravi Bishnoi,4.0,42,0,0.0,DC,Narendra Modi Stadium,02 May 2021
1995,Mohammad Shami,4.0,42,1,24.0,MI,Zayed Cricket Stadium,28 September 2021
1996,Prasidh Krishna,4.0,42,1,24.0,MI,Chidambaram,13 April 2021
1997,Chris Woakes,4.0,42,1,24.0,PBKS,Wankhede Stadium,18 April 2021
1998,Trent Boult,4.0,42,1,24.0,CSK,Arun Jaitley Stadium,01 May 2021
1999,Arshdeep Singh,3.0,42,0,0.0,RCB,Sharjah Cricket Stadium,03 October 2021
2000,Vijay Shankar,3.0,42,1,18.0,RR,Arun Jaitley Stadium,02 May 2021
2001,Khaleel Ahmed,4.0,41,0,0.0,RR,Arun Jaitley Stadium,02 May 2021
2002,Yuzvendra Chahal,4.0,41,0,0.0,MI,Chidambaram,09 April 2021
2003,Prasidh Krishna,4.0,41,1,24.0,CSK,Zayed Cricket Stadium,26 September 2021
2004,Ravichandran Ashwin,4.0,41,1,24.0,MI,Sharjah Cricket Stadium,02 October 2021
2005,Chris Morris,4.0,41,2,12.0,PBKS,Wankhede Stadium,12 April 2021
2006,Jhye Richardson,4.0,41,2,12.0,DC,Wankhede Stadium,18 April 2021
2007,Sunil Narine,4.0,41,3,8.0,CSK,Zayed Cricket Stadium,26 September 2021
2008,Kyle Jamieson,3.0,41,3,6.0,KKR,Chidambaram,18 April 2021
2009,Wanindu Hasaranga,4.0,40,0,0.0,CSK,Sharjah Cricket Stadium,24 September 2021
2010,Tim Southee,4.0,40,0,0.0,PBKS,Dubai International Stadium,01 October 2021
2011,Jaydev Unadkat,4.0,40,0,0.0,CSK,Wankhede Stadium,19 April 2021
2012,Kartik Tyagi,4.0,40,1,24.0,DC,Zayed Cricket Stadium,25 September 2021
2013,Tom Curran,4.0,40,1,24.0,CSK,Wankhede Stadium,10 April 2021
2014,Rashid Khan,4.0,40,2,12.0,MI,Zayed Cricket Stadium,08 October 2021
2015,Josh Hazlewood,4.0,40,2,12.0,KKR,Zayed Cricket Stadium,26 September 2021
2016,Nathan Coulter-Nile,4.0,40,2,12.0,SRH,Zayed Cricket Stadium,08 October 2021
2017,Shreyas Gopal,3.0,40,0,0.0,PBKS,Wankhede Stadium,12 April 2021
2018,Akash Singh,4.0,39,0,0.0,CSK,Zayed Cricket Stadium,02 October 2021
2019,Ishan Porel,4.0,39,1,24.0,RR,Dubai International Stadium,21 September 2021
2020,Avesh Khan,4.0,39,1,24.0,PBKS,Narendra Modi Stadium,02 May 2021
2021,Axar Patel,4.0,39,1,24.0,RCB,Dubai International Stadium,08 October 2021
2022,Rashid Khan,4.0,39,1,24.0,RCB,Zayed Cricket Stadium,06 October 2021
2023,Varun Chakaravarthy,4.0,39,2,12.0,RCB,Chidambaram,18 April 2021
2024,Jasprit Bumrah,4.0,39,2,12.0,SRH,Zayed Cricket Stadium,08 October 2021
2025,Rahul Tewatia,4.0,39,3,8.0,CSK,Zayed Cricket Stadium,02 October 2021
2026,Mohammad Shami,4.0,39,3,8.0,RCB,Sharjah Cricket Stadium,03 October 2021
2027,Fabian Allen,4.0,38,0,0.0,KKR,Dubai International Stadium,01 October 2021
2028,Varun Chakaravarthy,4.0,38,0,0.0,CSK,Dubai International Stadium,15 October 2021
2029,Chetan Sakariya,4.0,38,0,0.0,SRH,Arun Jaitley Stadium,02 May 2021
2030,Harbhajan Singh,4.0,38,0,0.0,RCB,Chidambaram,18 April 2021
2031,Kagiso Rabada,4.0,38,1,24.0,RCB,Narendra Modi Stadium,27 April 2021
2032,Piyush Chawla,4.0,38,1,24.0,SRH,Zayed Cricket Stadium,08 October 2021
2033,Shardul Thakur,4.0,38,3,8.0,KKR,Dubai International Stadium,15 October 2021
2034,Chris Morris,3.0,38,0,0.0,RCB,Wankhede Stadium,22 April 2021
2035,Andre Russell,2.0,38,0,0.0,RCB,Chidambaram,18 April 2021
2036,Bhuvneshwar Kumar,4.0,37,0,0.0,RR,Arun Jaitley Stadium,02 May 2021
2037,Ishant Sharma,4.0,37,0,0.0,PBKS,Narendra Modi Stadium,02 May 2021
2038,Kagiso Rabada,4.0,37,0,0.0,RCB,Dubai International Stadium,08 October 2021
2039,Deepak Chahar,4.0,37,0,0.0,MI,Arun Jaitley Stadium,01 May 2021
2040,Mustafizur Rahman,4.0,37,1,24.0,CSK,Wankhede Stadium,19 April 2021
2041,Shardul Thakur,4.0,37,1,24.0,SRH,Sharjah Cricket Stadium,30 September 2021
2042,T Natarajan,4.0,37,1,24.0,KKR,Chidambaram,11 April 2021
2043,Anrich Nortje,4.0,37,1,24.0,CSK,Dubai International Stadium,04 October 2021
2044,Trent Boult,4.0,37,1,24.0,RR,Arun Jaitley Stadium,29 April 2021
2045,Ravindra Jadeja,4.0,37,2,12.0,KKR,Dubai International Stadium,15 October 2021
2046,Harshal Patel,4.0,37,2,12.0,DC,Narendra Modi Stadium,27 April 2021
2047,Kagiso Rabada,4.0,37,3,8.0,SRH,Dubai International Stadium,22 September 2021
2048,Mustafizur Rahman,3.3,37,1,21.0,MI,Arun Jaitley Stadium,29 April 2021
2049,Jayant Yadav,3.0,37,0,0.0,RR,Arun Jaitley Stadium,29 April 2021
2050,Andre Russell,3.0,37,0,0.0,MI,Zayed Cricket Stadium,23 September 2021
2051,Mohammad Shami,3.0,37,0,0.0,DC,Narendra Modi Stadium,02 May 2021
2052,Deepak Hooda,2.0,37,0,0.0,RR,Dubai International Stadium,21 September 2021
2053,Khaleel Ahmed,4.0,36,0,0.0,CSK,Arun Jaitley Stadium,28 April 2021
2054,Sunil Narine,4.0,36,0,0.0,DC,Narendra Modi Stadium,29 April 2021
2055,Shivam Mavi,4.0,36,0,0.0,RCB,Sharjah Cricket Stadium,11 October 2021
2056,Deepak Chahar,4.0,36,0,0.0,DC,Wankhede Stadium,10 April 2021
2057,Varun Chakaravarthy,4.0,36,0,0.0,SRH,Chidambaram,11 April 2021
2058,Trent Boult,4.0,36,1,24.0,RCB,Chidambaram,09 April 2021
2059,Shahbaz Nadeem,4.0,36,1,24.0,RCB,Chidambaram,14 April 2021
2060,Siddarth Kaul,4.0,36,2,12.0,RR,Dubai International Stadium,27 September 2021
2061,Chetan Sakariya,4.0,36,3,8.0,CSK,Wankhede Stadium,19 April 2021
2062,Jasprit Bumrah,4.0,36,3,8.0,RCB,Dubai International Stadium,26 September 2021
2063,Rashid Khan,4.0,36,3,8.0,CSK,Arun Jaitley Stadium,28 April 2021
2064,Kagiso Rabada,4.0,36,3,8.0,PBKS,Narendra Modi Stadium,02 May 2021
2065,Pat Cummins,3.5,36,0,0.0,RR,Wankhede Stadium,24 April 2021
2066,Prasidh Krishna,3.3,36,0,0.0,DC,Narendra Modi Stadium,29 April 2021
2067,Shardul Thakur,3.0,36,0,0.0,DC,Dubai International Stadium,10 October 2021
2068,Chetan Sakariya,3.0,36,1,18.0,MI,Sharjah Cricket Stadium,05 October 2021
2069,Ravi Bishnoi,4.0,35,0,0.0,RCB,Sharjah Cricket Stadium,03 October 2021
2070,Nathan Coulter-Nile,4.0,35,0,0.0,RR,Arun Jaitley Stadium,29 April 2021
2071,Jaydev Unadkat,4.0,35,0,0.0,KKR,Sharjah Cricket Stadium,07 October 2021
2072,Shardul Thakur,4.0,35,0,0.0,PBKS,Wankhede Stadium,16 April 2021
2073,Chetan Sakariya,4.0,35,0,0.0,RCB,Wankhede Stadium,22 April 2021
2074,Avesh Khan,4.0,35,1,24.0,CSK,Dubai International Stadium,04 October 2021
2075,Sam Curran,4.0,35,1,24.0,RCB,Wankhede Stadium,25 April 2021
2076,Deepak Chahar,4.0,35,1,24.0,RCB,Sharjah Cricket Stadium,24 September 2021
2077,Prasidh Krishna,4.0,35,2,12.0,SRH,Chidambaram,11 April 2021
2078,Arshdeep Singh,4.0,35,2,12.0,CSK,Dubai International Stadium,07 October 2021
2079,Trent Boult,4.0,35,2,12.0,CSK,Dubai International Stadium,19 September 2021
2080,Lungi Ngidi,4.0,35,2,12.0,SRH,Arun Jaitley Stadium,28 April 2021
2081,Arshdeep Singh,4.0,35,3,8.0,RR,Wankhede Stadium,12 April 2021
2082,Tom Curran,3.4,35,0,0.0,RR,Wankhede Stadium,15 April 2021
2083,Riley Meredith,3.4,35,1,22.0,DC,Narendra Modi Stadium,02 May 2021
2084,Sandeep Sharma,3.0,35,0,0.0,KKR,Chidambaram,11 April 2021
2085,Shreyas Gopal,3.0,35,0,0.0,RCB,Wankhede Stadium,22 April 2021
2086,Adil Rashid,3.0,35,0,0.0,RR,Dubai International Stadium,21 September 2021
2087,Lalit Yadav,3.0,35,1,18.0,KKR,Sharjah Cricket Stadium,28 September 2021
2088,Riley Meredith,2.2,35,1,14.0,DC,Wankhede Stadium,18 April 2021
2089,Josh Hazlewood,4.0,34,0,0.0,RCB,Sharjah Cricket Stadium,24 September 2021
2090,Tabraiz Shamsi,4.0,34,0,0.0,DC,Zayed Cricket Stadium,25 September 2021
2091,Bhuvneshwar Kumar,4.0,34,0,0.0,CSK,Sharjah Cricket Stadium,30 September 2021
2092,Ishant Sharma,4.0,34,0,0.0,KKR,Narendra Modi Stadium,29 April 2021
2093,Varun Chakaravarthy,4.0,34,0,0.0,DC,Narendra Modi Stadium,29 April 2021
2094,Sunil Narine,4.0,34,1,24.0,PBKS,Dubai International Stadium,01 October 2021
2095,Yuzvendra Chahal,4.0,34,1,24.0,PBKS,Narendra Modi Stadium,30 April 2021
2096,Josh Hazlewood,4.0,34,1,24.0,MI,Dubai International Stadium,19 September 2021
2097,Bhuvneshwar Kumar,4.0,34,1,24.0,PBKS,Sharjah Cricket Stadium,25 September 2021
2098,Harshal Patel,4.0,34,1,24.0,DC,Dubai International Stadium,08 October 2021
2099,Sunil Narine,4.0,34,1,24.0,CSK,Wankhede Stadium,21 April 2021
