,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1795,Rashid Khan,4.0,14,2,0,15,12.0,PBKS,Dubai International Stadium,24 October 2020
1796,Mohammad Shami,4.0,15,3,0,15,8.0,DC,Dubai International Stadium,20 September 2020
1797,Chris Morris,4.0,16,0,1,15,0.0,KKR,Zayed Cricket Stadium,21 October 2020
1798,Jasprit Bumrah,4.0,17,3,0,15,8.0,DC,Dubai International Stadium,31 October 2020
1799,Jofra Archer,4.0,18,1,0,15,24.0,RCB,Zayed Cricket Stadium,03 October 2020
1800,Jofra Archer,4.0,19,1,0,15,24.0,KKR,Dubai International Stadium,01 November 2020
1801,Arshdeep Singh,4.0,25,1,1,15,24.0,KKR,Zayed Cricket Stadium,10 October 2020
1802,Adam Zampa,4.0,12,1,0,14,24.0,SRH,Zayed Cricket Stadium,06 November 2020
1803,Ravi Bishnoi,4.0,13,1,0,14,24.0,SRH,Dubai International Stadium,24 October 2020
1804,Washington Sundar,4.0,14,1,1,14,24.0,KKR,Zayed Cricket Stadium,21 October 2020
1805,Shivam Mavi,4.0,15,2,1,14,12.0,RR,Dubai International Stadium,01 November 2020
1806,Lockie Ferguson,4.0,17,1,0,14,24.0,RCB,Zayed Cricket Stadium,21 October 2020
1807,Jofra Archer,4.0,18,2,0,14,12.0,KKR,Dubai International Stadium,30 September 2020
1808,Chris Morris,4.0,19,3,0,14,8.0,CSK,Dubai International Stadium,10 October 2020
1809,Jofra Archer,4.0,19,3,0,14,8.0,DC,Dubai International Stadium,14 October 2020
1810,Josh Hazlewood,4.0,19,1,0,14,24.0,RR,Zayed Cricket Stadium,19 October 2020
1811,Jasprit Bumrah,4.0,20,4,0,14,6.0,RR,Zayed Cricket Stadium,06 October 2020
1812,Sheldon Cottrell,4.0,20,1,1,14,24.0,MI,Zayed Cricket Stadium,01 October 2020
1813,Navdeep Saini,4.0,21,0,0,14,0.0,PBKS,Sharjah Cricket Stadium,15 October 2020
1814,Nathan Coulter-Nile,4.0,25,1,0,14,24.0,CSK,Sharjah Cricket Stadium,23 October 2020
1815,Jofra Archer,4.0,25,1,0,14,24.0,SRH,Dubai International Stadium,11 October 2020
1816,Mohammed Siraj,4.0,28,2,0,14,12.0,SRH,Zayed Cricket Stadium,06 November 2020
1817,Jasprit Bumrah,4.0,32,2,0,14,12.0,KKR,Zayed Cricket Stadium,23 September 2020
1818,Sandeep Sharma,4.0,34,3,0,14,8.0,MI,Sharjah Cricket Stadium,03 November 2020
1819,Rashid Khan,4.0,12,3,1,13,8.0,PBKS,Dubai International Stadium,08 October 2020
1820,Washington Sundar,4.0,12,1,0,13,24.0,MI,Dubai International Stadium,28 September 2020
1821,Yuzvendra Chahal,4.0,12,1,0,13,24.0,KKR,Sharjah Cricket Stadium,12 October 2020
1822,Rashid Khan,4.0,14,3,0,13,8.0,DC,Zayed Cricket Stadium,29 September 2020
1823,Lockie Ferguson,4.0,15,3,0,13,8.0,SRH,Zayed Cricket Stadium,18 October 2020
1824,Yuzvendra Chahal,4.0,15,2,0,13,12.0,KKR,Zayed Cricket Stadium,21 October 2020
1825,Rahul Chahar,4.0,18,2,0,13,12.0,KKR,Zayed Cricket Stadium,16 October 2020
1826,Jasprit Bumrah,4.0,18,2,0,13,12.0,PBKS,Zayed Cricket Stadium,01 October 2020
1827,Sandeep Sharma,4.0,19,2,0,13,12.0,CSK,Dubai International Stadium,13 October 2020
1828,Varun Chakaravarthy,4.0,20,2,0,13,12.0,CSK,Dubai International Stadium,29 October 2020
1829,Shivam Mavi,4.0,20,2,0,13,12.0,RR,Dubai International Stadium,30 September 2020
1830,Vijay Shankar,4.0,20,1,0,13,24.0,KKR,Zayed Cricket Stadium,18 October 2020
1831,Rahul Chahar,4.0,22,2,0,13,12.0,CSK,Sharjah Cricket Stadium,23 October 2020
1832,Anrich Nortje,4.0,22,2,0,13,12.0,RCB,Dubai International Stadium,05 October 2020
1833,Sheldon Cottrell,4.0,24,2,0,13,12.0,DC,Dubai International Stadium,20 September 2020
