,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1997,Jasprit Bumrah,4.0,14,1,0,12,24.0,SRH,Chidambaram,17 April 2021
1998,Jasprit Bumrah,4.0,15,1,0,12,24.0,RR,Arun Jaitley Stadium,29 April 2021
1999,Sam Curran,3.0,12,1,0,12,18.0,PBKS,Wankhede Stadium,16 April 2021
2000,Anrich Nortje,4.0,18,2,0,12,12.0,RR,Zayed Cricket Stadium,25 September 2021
2001,Nathan Coulter-Nile,4.0,19,1,0,12,24.0,DC,Sharjah Cricket Stadium,02 October 2021
2002,Mustafizur Rahman,4.0,20,3,0,12,8.0,SRH,Arun Jaitley Stadium,02 May 2021
2003,Sandeep Sharma,4.0,20,1,0,12,24.0,PBKS,Sharjah Cricket Stadium,25 September 2021
2004,Mohammed Siraj,3.0,15,1,0,12,18.0,MI,Dubai International Stadium,26 September 2021
2005,Sunil Narine,4.0,20,0,0,12,0.0,RCB,Zayed Cricket Stadium,20 September 2021
2006,Kagiso Rabada,4.0,21,0,0,12,0.0,CSK,Dubai International Stadium,04 October 2021
2007,Deepak Hooda,4.0,22,0,0,12,0.0,SRH,Chidambaram,21 April 2021
2008,Mohammed Siraj,4.0,22,0,0,12,0.0,MI,Chidambaram,09 April 2021
2009,Harpreet Brar,4.0,22,0,0,12,0.0,CSK,Dubai International Stadium,07 October 2021
2010,Chetan Sakariya,4.0,23,1,0,12,24.0,KKR,Sharjah Cricket Stadium,07 October 2021
2011,Pat Cummins,4.0,24,2,0,12,12.0,MI,Chidambaram,13 April 2021
2012,Khaleel Ahmed,4.0,24,1,0,12,24.0,MI,Chidambaram,17 April 2021
2013,Siddarth Kaul,4.0,24,1,1,12,24.0,RCB,Zayed Cricket Stadium,06 October 2021
2014,Harshal Patel,4.0,27,5,0,12,4.8,MI,Chidambaram,09 April 2021
2015,Trent Boult,4.0,27,2,0,12,12.0,KKR,Chidambaram,13 April 2021
2016,Rashid Khan,4.0,27,1,0,12,24.0,CSK,Sharjah Cricket Stadium,30 September 2021
2017,Ravichandran Ashwin,4.0,27,0,0,12,0.0,SRH,Chidambaram,25 April 2021
2018,Chris Morris,4.0,28,1,0,12,24.0,KKR,Sharjah Cricket Stadium,07 October 2021
2019,Kartik Tyagi,4.0,29,2,0,12,12.0,PBKS,Dubai International Stadium,21 September 2021
2020,Shivam Mavi,4.0,29,2,0,12,12.0,SRH,Dubai International Stadium,03 October 2021
2021,Prasidh Krishna,4.0,30,3,0,12,8.0,PBKS,Narendra Modi Stadium,26 April 2021
2022,Kagiso Rabada,4.0,30,2,0,12,12.0,RR,Wankhede Stadium,15 April 2021
2023,Sunil Narine,4.0,30,0,0,12,0.0,RR,Sharjah Cricket Stadium,07 October 2021
2024,Trent Boult,3.4,28,3,0,12,7.33,SRH,Chidambaram,17 April 2021
2025,Shivam Mavi,4.0,31,1,0,12,24.0,PBKS,Dubai International Stadium,01 October 2021
2026,Ravichandran Ashwin,4.0,31,0,0,12,0.0,MI,Chidambaram,20 April 2021
2027,Bhuvneshwar Kumar,4.0,34,0,0,12,0.0,CSK,Sharjah Cricket Stadium,30 September 2021
2028,Avesh Khan,4.0,35,1,0,12,24.0,CSK,Dubai International Stadium,04 October 2021
2029,Jasprit Bumrah,4.0,36,3,0,12,8.0,RCB,Dubai International Stadium,26 September 2021
2030,Trent Boult,4.0,36,1,0,12,24.0,RCB,Chidambaram,09 April 2021
2031,Moeen Ali,3.0,7,3,0,11,6.0,RR,Wankhede Stadium,19 April 2021
2032,Rashid Khan,4.0,17,1,0,11,24.0,PBKS,Chidambaram,21 April 2021
2033,Rashid Khan,4.0,17,1,0,11,24.0,PBKS,Sharjah Cricket Stadium,25 September 2021
2034,Yuzvendra Chahal,4.0,18,2,0,11,12.0,RR,Dubai International Stadium,29 September 2021
2035,Siddarth Kaul,3.4,17,1,0,11,22.0,KKR,Dubai International Stadium,03 October 2021
2036,Sunil Narine,4.0,20,0,0,11,0.0,RR,Wankhede Stadium,24 April 2021
2037,Sunil Narine,4.0,21,4,0,11,6.0,RCB,Sharjah Cricket Stadium,11 October 2021
2038,Mohammad Shami,4.0,21,2,0,11,12.0,CSK,Wankhede Stadium,16 April 2021
2039,Axar Patel,4.0,21,1,0,11,24.0,PBKS,Narendra Modi Stadium,02 May 2021
2040,Umran Malik,4.0,21,1,0,11,24.0,RCB,Zayed Cricket Stadium,06 October 2021
2041,Rashid Khan,4.0,22,0,0,11,0.0,MI,Chidambaram,17 April 2021
2042,Mohammed Siraj,3.0,17,0,0,11,0.0,KKR,Chidambaram,18 April 2021
2043,Mohammed Siraj,3.0,17,0,0,11,0.0,SRH,Zayed Cricket Stadium,06 October 2021
2044,Avesh Khan,4.0,23,2,0,11,12.0,CSK,Wankhede Stadium,10 April 2021
2045,Amit Mishra,4.0,24,4,0,11,6.0,MI,Chidambaram,20 April 2021
2046,Lockie Ferguson,4.0,24,2,0,11,12.0,RCB,Zayed Cricket Stadium,20 September 2021
2047,Jasprit Bumrah,4.0,24,2,0,11,12.0,PBKS,Zayed Cricket Stadium,28 September 2021
2048,Chris Woakes,3.0,18,2,0,11,9.0,CSK,Wankhede Stadium,10 April 2021
2049,Avesh Khan,4.0,24,1,0,11,24.0,RCB,Narendra Modi Stadium,27 April 2021
2050,Daniel Sams,4.0,24,1,0,11,24.0,PBKS,Narendra Modi Stadium,30 April 2021
2051,Dwayne Bravo,4.0,25,3,0,11,8.0,MI,Dubai International Stadium,19 September 2021
2052,Mohammed Siraj,4.0,25,2,0,11,12.0,DC,Dubai International Stadium,08 October 2021
2053,Bhuvneshwar Kumar,4.0,25,1,0,11,24.0,RCB,Zayed Cricket Stadium,06 October 2021
2054,Jaydev Unadkat,4.0,25,1,0,11,24.0,KKR,Wankhede Stadium,24 April 2021
2055,Axar Patel,4.0,26,2,0,11,12.0,SRH,Chidambaram,25 April 2021
2056,Ishant Sharma,4.0,26,1,1,11,24.0,RCB,Narendra Modi Stadium,27 April 2021
2057,Lockie Ferguson,4.0,26,1,0,11,24.0,DC,Sharjah Cricket Stadium,13 October 2021
2058,Rahul Chahar,4.0,27,4,0,11,6.0,KKR,Chidambaram,13 April 2021
2059,Jason Holder,4.0,27,1,0,11,24.0,RCB,Zayed Cricket Stadium,06 October 2021
2060,Kyle Jamieson,4.0,28,1,0,11,24.0,RR,Wankhede Stadium,22 April 2021
2061,Jhye Richardson,3.0,21,0,0,11,0.0,CSK,Wankhede Stadium,16 April 2021
2062,Mustafizur Rahman,4.0,29,2,0,11,12.0,DC,Wankhede Stadium,15 April 2021
2063,Mustafizur Rahman,3.3,26,1,0,11,21.0,SRH,Dubai International Stadium,27 September 2021
2064,Shardul Thakur,4.0,30,2,0,11,12.0,RR,Zayed Cricket Stadium,02 October 2021
2065,Avesh Khan,4.0,31,0,0,11,0.0,RCB,Dubai International Stadium,08 October 2021
2066,Arshdeep Singh,4.0,32,5,0,11,4.8,RR,Dubai International Stadium,21 September 2021
2067,Avesh Khan,4.0,32,3,0,11,8.0,RR,Wankhede Stadium,15 April 2021
2068,Axar Patel,4.0,32,2,0,11,12.0,KKR,Narendra Modi Stadium,29 April 2021
2069,Kyle Jamieson,4.0,32,1,0,11,24.0,DC,Narendra Modi Stadium,27 April 2021
2070,Chris Morris,4.0,33,2,0,11,12.0,CSK,Wankhede Stadium,19 April 2021
2071,Jasprit Bumrah,4.0,33,2,0,11,12.0,CSK,Dubai International Stadium,19 September 2021
2072,Rahul Chahar,4.0,33,1,0,11,24.0,RCB,Dubai International Stadium,26 September 2021
2073,Sam Curran,4.0,34,3,0,11,8.0,MI,Arun Jaitley Stadium,01 May 2021
2074,Prasidh Krishna,4.0,35,2,0,11,12.0,SRH,Chidambaram,11 April 2021
2075,Ravi Bishnoi,4.0,35,0,0,11,0.0,RCB,Sharjah Cricket Stadium,03 October 2021
2076,Shardul Thakur,4.0,38,3,0,11,8.0,KKR,Dubai International Stadium,15 October 2021
2077,Andre Russell,3.0,9,3,0,10,6.0,RCB,Zayed Cricket Stadium,20 September 2021
2078,Ravi Bishnoi,4.0,17,2,0,10,12.0,RCB,Narendra Modi Stadium,30 April 2021
2079,Dwayne Bravo,4.0,17,2,0,10,12.0,SRH,Sharjah Cricket Stadium,30 September 2021
2080,Axar Patel,3.0,13,0,0,10,0.0,KKR,Sharjah Cricket Stadium,28 September 2021
2081,Rashid Khan,4.0,18,2,0,10,12.0,RCB,Chidambaram,14 April 2021
2082,Sunil Narine,4.0,18,2,0,10,12.0,DC,Sharjah Cricket Stadium,28 September 2021
