,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1368,Kedar Jadhav,69,37,186.48,5,5,DC,M. Chinnaswamy Stadium,08 April 2017
1369,Kane Williamson,89,51,174.5,6,5,DC,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
1370,Hashim Amla,104,60,173.33,8,5,GL,IS Bindra Stadium,07 May 2017
1371,Manish Pandey,81,47,172.34,5,5,MI,Wankhede Stadium,09 April 2017
1372,Sanju Samson,102,63,161.9,8,5,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
1373,Travis Head,75,47,159.57,3,5,KKR,M. Chinnaswamy Stadium,07 May 2017
1374,MS Dhoni,40,26,153.84,0,5,MI,Wankhede Stadium,16 May 2017
1375,Kieron Pollard,70,47,148.93,3,5,RCB,M. Chinnaswamy Stadium,14 April 2017
1376,Sunil Narine,54,17,317.64,6,4,RCB,M. Chinnaswamy Stadium,07 May 2017
1377,Ishan Kishan,39,16,243.75,2,4,RCB,Saurashtra Cricket Association Stadium,18 April 2017
1378,Rishabh Pant,38,16,237.5,2,4,KKR,Arun Jaitley Stadium,17 April 2017
1379,Hardik Pandya,35,15,233.33,1,4,RPS,Maharashtra Cricket Association's International Stadium,06 April 2017
1380,Hardik Pandya,30,13,230.76,0,4,PBKS,Wankhede Stadium,11 May 2017
1381,Chris Lynn,50,22,227.27,5,4,RCB,M. Chinnaswamy Stadium,07 May 2017
1382,Glenn Maxwell,44,20,220.0,2,4,RPS,Holkar Cricket Stadium,08 April 2017
1383,Glenn Maxwell,43,22,195.45,3,4,RCB,Holkar Cricket Stadium,10 April 2017
1384,Dwayne Smith,74,39,189.74,8,4,PBKS,IS Bindra Stadium,07 May 2017
1385,Robin Uthappa,53,28,189.28,4,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
1386,David Warner,51,27,188.88,4,4,PBKS,IS Bindra Stadium,28 April 2017
1387,Lendl Simmons,59,32,184.37,5,4,PBKS,Wankhede Stadium,11 May 2017
1388,Suresh Raina,84,46,182.6,9,4,KKR,Eden Gardens,21 April 2017
1389,Kieron Pollard,63,35,180.0,5,4,DC,Arun Jaitley Stadium,06 May 2017
1390,Suresh Raina,77,43,179.06,5,4,DC,Arun Jaitley Stadium,04 May 2017
1391,Robin Uthappa,59,33,178.78,5,4,DC,Eden Gardens,28 April 2017
1392,Aaron Finch,69,39,176.92,6,4,DC,Green Park,10 May 2017
1393,Glenn Maxwell,44,25,176.0,1,4,KKR,IS Bindra Stadium,09 May 2017
1394,Robin Uthappa,68,39,174.35,5,4,SRH,Eden Gardens,15 April 2017
1395,David Warner,76,45,168.88,6,4,GL,Rajiv Gandhi Intl. Cricket Stadium,09 April 2017
1396,Rishabh Pant,57,36,158.33,3,4,RCB,M. Chinnaswamy Stadium,08 April 2017
1397,Lendl Simmons,66,43,153.48,5,4,DC,Arun Jaitley Stadium,06 May 2017
1398,Ishan Kishan,61,40,152.5,5,4,SRH,Green Park,13 May 2017
1399,Chris Morris,38,9,422.22,4,3,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
1400,Yusuf Pathan,20,7,285.71,0,3,MI,Eden Gardens,13 May 2017
1401,Yuvraj Singh,62,27,229.62,7,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
1402,Glenn Maxwell,40,18,222.22,4,3,MI,Holkar Cricket Stadium,20 April 2017
1403,Hardik Pandya,29,14,207.14,1,3,DC,Arun Jaitley Stadium,06 May 2017
1404,Sunil Narine,37,18,205.55,4,3,PBKS,Eden Gardens,13 April 2017
1405,Jos Buttler,38,19,200.0,3,3,RPS,Maharashtra Cricket Association's International Stadium,06 April 2017
1406,Martin Guptill,50,27,185.18,6,3,DC,IS Bindra Stadium,30 April 2017
1407,Krunal Pandya,37,20,185.0,3,3,SRH,Wankhede Stadium,12 April 2017
1408,MS Dhoni,61,34,179.41,5,3,SRH,Maharashtra Cricket Association's International Stadium,22 April 2017
1409,Corey Anderson,39,22,177.27,3,3,PBKS,Arun Jaitley Stadium,15 April 2017
1410,Ajinkya Rahane,60,34,176.47,6,3,MI,Maharashtra Cricket Association's International Stadium,06 April 2017
1411,Nitish Rana,50,29,172.41,5,3,KKR,Wankhede Stadium,09 April 2017
1412,Glenn Maxwell,31,18,172.22,1,3,GL,Saurashtra Cricket Association Stadium,23 April 2017
1413,Corey Anderson,41,24,170.83,2,3,SRH,Arun Jaitley Stadium,02 May 2017
1414,Ambati Rayudu,63,37,170.27,6,3,KKR,Eden Gardens,13 May 2017
1415,Kieron Pollard,39,23,169.56,2,3,GL,Wankhede Stadium,16 April 2017
1416,Wriddhiman Saha,93,55,169.09,11,3,MI,Wankhede Stadium,11 May 2017
1417,Chris Lynn,84,52,161.53,8,3,PBKS,IS Bindra Stadium,09 May 2017
1418,AB de Villiers,43,27,159.25,3,3,MI,Wankhede Stadium,01 May 2017
1419,Sanju Samson,60,38,157.89,4,3,KKR,Eden Gardens,28 April 2017
1420,Ben Stokes,50,32,156.25,2,3,PBKS,Holkar Cricket Stadium,08 April 2017
1421,Ben Stokes,39,25,156.0,1,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2017
1422,Steve Smith,84,54,155.55,7,3,MI,Maharashtra Cricket Association's International Stadium,06 April 2017
1423,Brendon McCullum,49,32,153.12,5,3,RPS,Saurashtra Cricket Association Stadium,14 April 2017
1424,Hashim Amla,58,38,152.63,4,3,RCB,Holkar Cricket Stadium,10 April 2017
1425,Chris Gayle,32,21,152.38,2,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
1426,Pawan Negi,35,23,152.17,1,3,MI,Wankhede Stadium,01 May 2017
1427,Axar Patel,44,29,151.72,1,3,DC,Arun Jaitley Stadium,15 April 2017
1428,Rohit Sharma,58,39,148.71,6,3,RPS,Wankhede Stadium,24 April 2017
1429,Brendon McCullum,64,44,145.45,6,3,MI,Wankhede Stadium,16 April 2017
1430,Rahul Tripathi,59,41,143.9,6,3,SRH,Maharashtra Cricket Association's International Stadium,22 April 2017
1431,Manish Pandey,69,49,140.81,4,3,DC,Arun Jaitley Stadium,17 April 2017
1432,Manoj Tiwary,60,45,133.33,5,3,DC,Arun Jaitley Stadium,12 May 2017
1433,Parthiv Patel,52,40,130.0,3,3,RPS,Wankhede Stadium,16 May 2017
1434,Virat Kohli,58,45,128.88,3,3,DC,Arun Jaitley Stadium,14 May 2017
1435,Chris Gayle,48,38,126.31,3,3,DC,Arun Jaitley Stadium,14 May 2017
1436,Suresh Raina,23,8,287.5,2,2,RCB,Saurashtra Cricket Association Stadium,18 April 2017
1437,Ben Cutting,16,6,266.66,0,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
1438,Dan Christian,16,6,266.66,0,2,KKR,Maharashtra Cricket Association's International Stadium,26 April 2017
