,Player,Runs,BF,4s,6s,Against,Venue,Match Date
308,AB de Villiers,54,40,1,5,KTK,Jawaharlal Nehru Stadium,09 April 2011
309,David Warner,54,40,6,1,RR,Sawai Mansingh Stadium,12 April 2011
310,Brendon McCullum,81,41,10,2,MI,Wankhede Stadium,15 April 2011
311,Suresh Raina,73,41,4,6,RCB,Wankhede Stadium,24 May 2011
312,Ambati Rayudu,63,41,9,0,RCB,M. Chinnaswamy Stadium,12 April 2011
313,James Hopes,55,41,10,0,MI,Wankhede Stadium,07 May 2011
314,Subramaniam Badrinath,55,41,6,1,DC,Chidambaram,12 May 2011
315,Shikhar Dhawan,54,41,4,1,KKR,Rajiv Gandhi Intl. Cricket Stadium,03 May 2011
316,Brad Hodge,51,41,3,2,CSK,Chidambaram,18 May 2011
317,Michael Hussey,83,42,11,1,RCB,Chidambaram,16 April 2011
318,Michael Hussey,61,42,6,1,PWI,Chidambaram,25 April 2011
319,Sachin Tendulkar,55,42,7,0,RCB,M. Chinnaswamy Stadium,12 April 2011
320,Ryan McLaren,51,42,6,1,PWI,DY Patil Stadium,10 April 2011
321,Sachin Tendulkar,100,43,12,3,KTK,Wankhede Stadium,15 April 2011
322,Johan Botha,67,43,8,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
323,Srikkanth Anirudha,64,43,6,2,KKR,Chidambaram,08 April 2011
324,Manish Pandey,59,43,4,3,MI,DY Patil Stadium,04 May 2011
325,Gautam Gambhir,54,43,7,0,PWI,DY Patil Stadium,19 May 2011
326,Virat Kohli,71,44,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
327,Jacques Kallis,53,44,7,1,DEC,Eden Gardens,11 April 2011
328,Sachin Tendulkar,51,44,3,1,PBKS,Wankhede Stadium,02 May 2011
329,David Warner,51,44,5,1,DEC,Arun Jaitley Stadium,19 April 2011
330,Jacques Kallis,80,46,7,2,RR,Sawai Mansingh Stadium,15 April 2011
331,Subramaniam Badrinath,66,46,8,0,PBKS,IS Bindra Stadium,13 April 2011
332,Tillakaratne Dilshan,59,49,4,2,MI,M. Chinnaswamy Stadium,12 April 2011
333,Owais Shah,60,19,5,5,RCB,M. Chinnaswamy Stadium,15 April 2012
334,Virender Sehwag,73,20,12,1,RR,Sawai Mansingh Stadium,01 May 2012
335,MS Dhoni,51,20,6,2,MI,M. Chinnaswamy Stadium,23 May 2012
336,AB de Villiers,59,21,3,5,RR,Sawai Mansingh Stadium,23 April 2012
337,Ross Taylor,55,22,7,2,RCB,Arun Jaitley Stadium,17 May 2012
338,JP Duminy,58,24,3,5,RR,Sawai Mansingh Stadium,17 April 2012
339,Chris Gayle,57,24,3,6,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
340,David Warner,79,25,10,4,PBKS,HPCA Stadium,19 May 2012
341,Kevin Pietersen,50,25,6,3,MI,Arun Jaitley Stadium,27 April 2012
342,David Warner,109,26,10,7,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
343,Mayank Agarwal,64,26,6,4,MI,M. Chinnaswamy Stadium,14 May 2012
344,Shane Watson,58,26,6,4,PWI,Sawai Mansingh Stadium,13 May 2012
345,Shane Watson,90,27,10,4,PWI,Maharashtra Cricket Association's International Stadium,08 May 2012
346,Manvinder Bisla,89,27,8,5,CSK,Chidambaram,27 May 2012
347,Suresh Raina,73,27,3,5,KKR,Chidambaram,27 May 2012
348,Chris Gayle,68,27,2,6,CSK,Chidambaram,12 April 2012
349,David Hussey,65,27,4,5,DEC,IS Bindra Stadium,13 May 2012
350,Virender Sehwag,57,27,5,4,PWI,Arun Jaitley Stadium,21 April 2012
351,Murali Vijay,113,28,15,4,DC,Chidambaram,25 May 2012
352,Gautam Gambhir,93,28,9,5,RCB,Eden Gardens,28 April 2012
353,Virender Sehwag,87,28,10,3,PWI,Maharashtra Cricket Association's International Stadium,24 April 2012
354,Gautam Gambhir,64,28,9,1,RCB,M. Chinnaswamy Stadium,10 April 2012
355,Rohit Sharma,109,29,12,5,KKR,Eden Gardens,12 May 2012
356,Tillakaratne Dilshan,71,29,8,2,DEC,M. Chinnaswamy Stadium,06 May 2012
357,Kieron Pollard,64,29,6,4,RR,Wankhede Stadium,11 April 2012
358,Ambati Rayudu,62,29,5,3,DC,Arun Jaitley Stadium,27 April 2012
359,Rohit Sharma,50,29,3,3,PBKS,IS Bindra Stadium,25 April 2012
360,Virender Sehwag,73,30,8,4,MI,Arun Jaitley Stadium,27 April 2012
361,David Hussey,68,30,4,4,MI,IS Bindra Stadium,25 April 2012
362,Gautam Gambhir,56,30,4,2,PWI,Eden Gardens,05 May 2012
363,Mandeep Singh,75,31,8,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
364,Gautam Gambhir,62,31,6,3,CSK,Eden Gardens,14 May 2012
365,Mahela Jayawardena,55,31,4,2,CSK,Chidambaram,25 May 2012
366,Kieron Pollard,52,31,5,3,RCB,M. Chinnaswamy Stadium,14 May 2012
367,Owais Shah,76,32,5,5,MI,Wankhede Stadium,11 April 2012
368,Sachin Tendulkar,74,32,11,1,CSK,Wankhede Stadium,06 May 2012
369,Chris Gayle,71,32,6,4,PBKS,M. Chinnaswamy Stadium,02 May 2012
370,Faf du Plessis,71,32,5,4,RCB,Chidambaram,12 April 2012
371,Jesse Ryder,86,33,7,4,DC,Arun Jaitley Stadium,21 April 2012
372,Robin Uthappa,69,33,9,2,RCB,M. Chinnaswamy Stadium,17 April 2012
373,Shaun Marsh,68,33,5,3,MI,Wankhede Stadium,22 April 2012
374,Cameron White,65,33,7,2,DC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
375,Virender Sehwag,63,33,8,2,RR,Arun Jaitley Stadium,29 April 2012
376,Dwayne Smith,87,34,10,3,RR,Sawai Mansingh Stadium,20 May 2012
377,Faf du Plessis,73,34,6,2,RR,Chidambaram,21 April 2012
378,Rahul Dravid,58,34,8,0,RCB,Sawai Mansingh Stadium,23 April 2012
379,Richard Levi,50,34,6,3,CSK,Chidambaram,04 April 2012
380,Nitin Saini,50,34,5,0,RCB,M. Chinnaswamy Stadium,02 May 2012
381,Cameron White,78,35,6,5,PWI,Maharashtra Cricket Association's International Stadium,26 April 2012
382,Cameron White,67,35,8,1,PBKS,IS Bindra Stadium,13 May 2012
383,Rahul Dravid,57,35,7,0,DC,Sawai Mansingh Stadium,01 May 2012
384,Michael Hussey,56,35,4,4,KKR,Eden Gardens,14 May 2012
385,Chris Gayle,82,36,5,6,MI,Wankhede Stadium,09 May 2012
386,Jesse Ryder,73,36,7,1,CSK,Maharashtra Cricket Association's International Stadium,14 April 2012
387,Shikhar Dhawan,71,36,4,3,PBKS,IS Bindra Stadium,13 May 2012
388,Gautam Gambhir,66,36,7,1,PBKS,IS Bindra Stadium,18 April 2012
389,AB de Villiers,52,36,6,0,PBKS,IS Bindra Stadium,20 April 2012
390,Chris Gayle,128,37,7,13,DC,Arun Jaitley Stadium,17 May 2012
391,Ajinkya Rahane,98,37,16,1,PBKS,Sawai Mansingh Stadium,06 April 2012
392,Shikhar Dhawan,84,37,9,5,DC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
393,AB de Villiers,64,37,6,2,DC,M. Chinnaswamy Stadium,07 April 2012
394,Rohit Sharma,60,37,6,2,CSK,Wankhede Stadium,06 May 2012
395,Shikhar Dhawan,52,37,8,0,RR,Sawai Mansingh Stadium,17 April 2012
396,Kumar Sangakkara,82,38,10,2,PWI,Barabati Stadium,01 May 2012
397,Chris Gayle,81,38,4,8,PWI,M. Chinnaswamy Stadium,17 April 2012
398,James Franklin,79,38,6,4,PBKS,Wankhede Stadium,22 April 2012
399,Cameron White,74,38,4,4,PWI,Barabati Stadium,01 May 2012
400,Naman Ojha,64,38,2,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
401,Michael Hussey,54,38,4,2,KKR,Chidambaram,27 May 2012
402,Cameron White,77,39,9,2,CSK,Chidambaram,04 May 2012
403,Shikhar Dhawan,73,39,10,1,RCB,M. Chinnaswamy Stadium,06 May 2012
404,Jacques Kallis,69,39,7,1,CSK,Chidambaram,27 May 2012
405,Mahela Jayawardena,55,39,8,0,MI,Arun Jaitley Stadium,27 April 2012
406,Ajinkya Rahane,84,40,9,1,DC,Arun Jaitley Stadium,29 April 2012
407,Manish Pandey,80,40,7,3,DC,Maharashtra Cricket Association's International Stadium,24 April 2012
408,Ajinkya Rahane,61,40,7,0,PWI,Sawai Mansingh Stadium,13 May 2012
409,Brendon McCullum,56,40,7,0,DC,Arun Jaitley Stadium,07 May 2012
410,Tillakaratne Dilshan,53,40,6,1,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
411,Owais Shah,52,40,4,3,CSK,Chidambaram,21 April 2012
412,Ajinkya Rahane,103,41,12,5,RCB,M. Chinnaswamy Stadium,15 April 2012
413,Chris Gayle,87,41,8,4,PBKS,IS Bindra Stadium,20 April 2012
414,Ambati Rayudu,81,41,6,4,RCB,M. Chinnaswamy Stadium,14 May 2012
415,Rohit Sharma,73,41,4,5,DEC,ACA-VDCA Stadium,09 April 2012
416,Virat Kohli,73,41,9,1,DC,Arun Jaitley Stadium,17 May 2012
417,Kevin Pietersen,103,42,6,9,DEC,Arun Jaitley Stadium,19 April 2012
418,Chris Gayle,86,42,7,6,KKR,Eden Gardens,28 April 2012
419,Adam Gilchrist,64,42,9,2,CSK,HPCA Stadium,17 May 2012
420,Manoj Tiwary,59,42,7,0,RR,Sawai Mansingh Stadium,08 April 2012
421,Faf du Plessis,58,42,4,2,PWI,Chidambaram,19 April 2012
422,Subramaniam Badrinath,57,42,8,0,PWI,Chidambaram,19 April 2012
423,Tillakaratne Dilshan,76,43,10,1,RR,Sawai Mansingh Stadium,23 April 2012
424,JP Duminy,74,43,4,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
425,Gautam Gambhir,63,43,6,1,CSK,Chidambaram,30 April 2012
