,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0
903,Bhuvneshwar Kumar,4.0,14,4,6.0,RR,Narendra Modi Stadium,08 May 2014,
904,Sunil Narine,4.0,20,4,6.0,MI,Zayed Cricket Stadium,16 April 2014,
905,Mohit Sharma,4.0,14,4,6.0,MI,Dubai International Stadium,25 April 2014,
906,Lakshmipathy Balaji,4.0,13,4,6.0,SRH,Sharjah Cricket Stadium,22 April 2014,
907,Yuvraj Singh,4.0,35,4,6.0,RR,M. Chinnaswamy Stadium,11 May 2014,
908,Lasith Malinga,4.0,23,4,6.0,KKR,Zayed Cricket Stadium,16 April 2014,
909,Karanveer Singh,4.0,54,4,6.0,KKR,M. Chinnaswamy Stadium,01 June 2014,
910,Ravindra Jadeja,4.0,33,4,6.0,RR,Dubai International Stadium,23 April 2014,
911,Ravindra Jadeja,4.0,12,4,6.0,KKR,JSCA Stadium,02 May 2014,
912,Pravin Tambe,4.0,20,4,6.0,RCB,Zayed Cricket Stadium,26 April 2014,
913,Karn Sharma,4.0,38,4,6.0,KKR,Eden Gardens,24 May 2014,
914,Sandeep Sharma,3.0,15,3,6.0,RCB,Dubai International Stadium,28 April 2014,
915,Mohit Sharma,3.0,22,3,6.0,KKR,JSCA Stadium,02 May 2014,
916,Irfan Pathan,2.0,10,2,6.0,MI,Dubai International Stadium,30 April 2014,
917,Jaydev Unadkat,2.0,24,2,6.0,MI,Wankhede Stadium,23 May 2014,
918,Ravichandran Ashwin,2.0,3,2,6.0,DC,Zayed Cricket Stadium,21 April 2014,
919,Karn Sharma,4.0,17,3,8.0,RCB,M. Chinnaswamy Stadium,04 May 2014,
920,Varun Aaron,4.0,16,3,8.0,KKR,Sharjah Cricket Stadium,24 April 2014,
921,Axar Patel,4.0,24,3,8.0,RR,IS Bindra Stadium,23 May 2014,
922,Umesh Yadav,4.0,26,3,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014,
923,Sandeep Sharma,4.0,21,3,8.0,KKR,Zayed Cricket Stadium,26 April 2014,
924,Sandeep Sharma,4.0,35,3,8.0,DC,Arun Jaitley Stadium,19 May 2014,
925,Mohit Sharma,4.0,42,3,8.0,MI,Brabourne Stadium,28 May 2014,
926,Bhuvneshwar Kumar,4.0,19,3,8.0,PBKS,Sharjah Cricket Stadium,22 April 2014,
927,Pravin Tambe,4.0,26,3,8.0,KKR,Narendra Modi Stadium,05 May 2014,
928,Mohit Sharma,4.0,31,3,8.0,RR,JSCA Stadium,13 May 2014,
929,Karanveer Singh,4.0,40,3,8.0,KKR,Eden Gardens,28 May 2014,
930,Jaydev Unadkat,4.0,32,3,8.0,CSK,Zayed Cricket Stadium,21 April 2014,
931,Beuran Hendricks,4.0,36,3,8.0,DC,Arun Jaitley Stadium,19 May 2014,
932,Rajat Bhatia,4.0,23,3,8.0,SRH,Narendra Modi Stadium,08 May 2014,
933,Shane Watson,4.0,21,3,8.0,KKR,Narendra Modi Stadium,05 May 2014,
934,Piyush Chawla,4.0,19,3,8.0,PBKS,Barabati Stadium,11 May 2014,
935,Sunil Narine,4.0,24,3,8.0,PBKS,Zayed Cricket Stadium,26 April 2014,
936,Imran Tahir,4.0,37,3,8.0,MI,Wankhede Stadium,23 May 2014,
937,Imran Tahir,4.0,22,3,8.0,PBKS,Arun Jaitley Stadium,19 May 2014,
938,Umesh Yadav,4.0,13,3,8.0,PBKS,Eden Gardens,28 May 2014,
939,Ashish Nehra,4.0,33,3,8.0,RCB,M. Chinnaswamy Stadium,24 May 2014,
940,Piyush Chawla,4.0,19,3,8.0,PBKS,Zayed Cricket Stadium,26 April 2014,
941,Ravichandran Ashwin,4.0,30,3,8.0,MI,Wankhede Stadium,10 May 2014,
942,Sandeep Sharma,4.0,25,3,8.0,RCB,M. Chinnaswamy Stadium,09 May 2014,
943,Ravindra Jadeja,2.4,18,2,8.0,DC,Zayed Cricket Stadium,21 April 2014,
944,David Hussey,2.5,38,2,8.5,RCB,JSCA Stadium,18 May 2014,
945,Harshal Patel,3.0,56,2,9.0,PBKS,M. Chinnaswamy Stadium,09 May 2014,
946,Rajat Bhatia,3.0,18,2,9.0,DC,Narendra Modi Stadium,15 May 2014,
947,Dhawal Kulkarni,3.0,42,2,9.0,MI,Wankhede Stadium,25 May 2014,
948,Moises Henriques,3.0,26,2,9.0,DC,Arun Jaitley Stadium,10 May 2014,
949,Varun Aaron,3.0,29,2,9.0,CSK,JSCA Stadium,18 May 2014,
950,Lakshmipathy Balaji,3.0,43,2,9.0,RCB,M. Chinnaswamy Stadium,09 May 2014,
951,Amit Mishra,3.0,23,2,9.0,DC,Arun Jaitley Stadium,10 May 2014,
952,Parvinder Awana,3.0,15,2,9.0,DC,IS Bindra Stadium,25 May 2014,
953,Shakib Al Hasan,3.0,22,2,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014,
954,Mitchell Johnson,3.1,27,2,9.5,DC,IS Bindra Stadium,25 May 2014,
955,Sandeep Sharma,3.1,29,2,9.5,MI,Wankhede Stadium,03 May 2014,
956,Mitchell Johnson,3.2,22,2,10.0,KKR,Zayed Cricket Stadium,26 April 2014,
957,Varun Aaron,3.5,29,2,11.5,PBKS,Dubai International Stadium,28 April 2014,
958,Kane Richardson,4.0,25,2,12.0,SRH,Zayed Cricket Stadium,18 April 2014,
959,Kane Richardson,4.0,43,2,12.0,RCB,M. Chinnaswamy Stadium,11 May 2014,
960,Zaheer Khan,4.0,26,2,12.0,SRH,Dubai International Stadium,30 April 2014,
961,Ankit Sharma,4.0,23,2,12.0,MI,Narendra Modi Stadium,19 May 2014,
962,Ravindra Jadeja,4.0,31,2,12.0,MI,Brabourne Stadium,28 May 2014,
963,Ishwar Pandey,4.0,23,2,12.0,DC,Zayed Cricket Stadium,21 April 2014,
964,Zaheer Khan,4.0,21,2,12.0,RCB,Dubai International Stadium,19 April 2014,
965,Lasith Malinga,4.0,17,2,12.0,DC,Sharjah Cricket Stadium,27 April 2014,
966,Vinay Kumar,4.0,42,2,12.0,RR,Narendra Modi Stadium,05 May 2014,
967,Ravindra Jadeja,4.0,18,2,12.0,RR,JSCA Stadium,13 May 2014,
968,Rishi Dhawan,4.0,23,2,12.0,MI,Wankhede Stadium,03 May 2014,
969,Lasith Malinga,4.0,15,2,12.0,CSK,Wankhede Stadium,10 May 2014,
970,Varun Aaron,4.0,36,2,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014,
971,Mitchell Johnson,4.0,41,2,12.0,KKR,M. Chinnaswamy Stadium,01 June 2014,
972,Shivam Sharma,4.0,26,2,12.0,RCB,M. Chinnaswamy Stadium,09 May 2014,
973,Axar Patel,4.0,11,2,12.0,KKR,Eden Gardens,28 May 2014,
974,Morne Morkel,4.0,41,2,12.0,DC,Dubai International Stadium,19 April 2014,
975,Bhuvneshwar Kumar,4.0,23,2,12.0,CSK,Sharjah Cricket Stadium,27 April 2014,
976,Harbhajan Singh,4.0,33,2,12.0,RCB,Wankhede Stadium,06 May 2014,
