,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0
1119,Yuzvendra Chahal,3.1,25,2,9.5,RR,Narendra Modi Stadium,24 April 2015,
1120,David Wiese,3.2,18,2,10.0,DC,Arun Jaitley Stadium,26 April 2015,
1121,Dwayne Bravo,3.4,17,2,11.0,RCB,Chidambaram,04 May 2015,
1122,Anureet Singh,3.5,56,2,11.5,KKR,Eden Gardens,09 May 2015,
1123,Bhuvneshwar Kumar,3.5,30,2,11.5,RCB,M. Chinnaswamy Stadium,13 April 2015,
1124,Bhuvneshwar Kumar,4.0,23,2,12.0,PBKS,IS Bindra Stadium,27 April 2015,
1125,Lasith Malinga,4.0,33,2,12.0,DC,Wankhede Stadium,05 May 2015,
1126,Shakib Al Hasan,4.0,22,2,12.0,MI,Wankhede Stadium,14 May 2015,
1127,David Wiese,4.0,29,2,12.0,CSK,Chidambaram,04 May 2015,
1128,Harbhajan Singh,4.0,20,2,12.0,PBKS,Wankhede Stadium,12 April 2015,
1129,Nathan Coulter-Nile,4.0,25,2,12.0,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015,
1130,Mohit Sharma,4.0,36,2,12.0,SRH,Chidambaram,11 April 2015,
1131,Morne Morkel,4.0,30,2,12.0,DC,Arun Jaitley Stadium,20 April 2015,
1132,Morne Morkel,4.0,18,2,12.0,MI,Eden Gardens,08 April 2015,
1133,Varun Aaron,4.0,24,2,12.0,DC,Arun Jaitley Stadium,26 April 2015,
1134,Bhuvneshwar Kumar,4.0,42,2,12.0,KKR,Eden Gardens,04 May 2015,
1135,Anureet Singh,4.0,41,2,12.0,MI,Wankhede Stadium,12 April 2015,
1136,Tim Southee,4.0,36,2,12.0,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015,
1137,Mitchell Johnson,4.0,39,2,12.0,SRH,IS Bindra Stadium,27 April 2015,
1138,Harbhajan Singh,4.0,11,2,12.0,DC,Wankhede Stadium,05 May 2015,
1139,Ravi Bopara,4.0,18,2,12.0,RR,ACA-VDCA Stadium,16 April 2015,
1140,Ishwar Pandey,4.0,27,2,12.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015,
1141,Dwayne Bravo,4.0,36,2,12.0,MI,Eden Gardens,24 May 2015,
1142,Moises Henriques,4.0,20,2,12.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015,
1143,Yuzvendra Chahal,4.0,51,2,12.0,MI,Wankhede Stadium,10 May 2015,
1144,Yusuf Pathan,4.0,40,2,12.0,RCB,Eden Gardens,11 April 2015,
1145,Umesh Yadav,4.0,18,2,12.0,DC,Arun Jaitley Stadium,20 April 2015,
1146,Shane Watson,4.0,38,2,12.0,KKR,Brabourne Stadium,16 May 2015,
1147,Morne Morkel,4.0,27,2,12.0,PBKS,Maharashtra Cricket Association's International Stadium,18 April 2015,
1148,Brad Hogg,4.0,17,2,12.0,SRH,Eden Gardens,04 May 2015,
1149,Dhawal Kulkarni,4.0,43,2,12.0,DC,Brabourne Stadium,03 May 2015,
1150,David Wiese,4.0,32,2,12.0,RR,Maharashtra Cricket Association's International Stadium,20 May 2015,
1151,Mitchell Johnson,4.0,23,2,12.0,MI,Wankhede Stadium,12 April 2015,
1152,Zaheer Khan,4.0,17,2,12.0,PBKS,Arun Jaitley Stadium,01 May 2015,
1153,Mitchell Johnson,4.0,34,2,12.0,RR,Maharashtra Cricket Association's International Stadium,10 April 2015,
1154,Yuzvendra Chahal,4.0,28,2,12.0,MI,M. Chinnaswamy Stadium,19 April 2015,
1155,Axar Patel,4.0,25,2,12.0,SRH,IS Bindra Stadium,27 April 2015,
1156,Sandeep Sharma,4.0,41,2,12.0,RCB,M. Chinnaswamy Stadium,06 May 2015,
1157,Ashish Nehra,4.0,16,2,12.0,PBKS,Chidambaram,25 April 2015,
1158,Lasith Malinga,4.0,25,2,12.0,CSK,Eden Gardens,24 May 2015,
1159,Amit Mishra,4.0,32,2,12.0,MI,Arun Jaitley Stadium,23 April 2015,
1160,Bhuvneshwar Kumar,4.0,32,2,12.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015,
1161,Harshal Patel,4.0,36,2,12.0,MI,Wankhede Stadium,10 May 2015,
1162,Chris Morris,4.0,35,2,12.0,DC,Arun Jaitley Stadium,12 April 2015,
1163,Tim Southee,4.0,32,2,12.0,RCB,M. Chinnaswamy Stadium,29 April 2015,
1164,Imran Tahir,4.0,46,2,12.0,KKR,Eden Gardens,07 May 2015,
1165,Dhawal Kulkarni,4.0,36,2,12.0,KKR,Brabourne Stadium,16 May 2015,
1166,Andre Russell,4.0,39,2,12.0,PBKS,Maharashtra Cricket Association's International Stadium,18 April 2015,
1167,Umesh Yadav,4.0,34,2,12.0,SRH,Eden Gardens,04 May 2015,
1168,Anureet Singh,4.0,33,2,12.0,DC,Maharashtra Cricket Association's International Stadium,15 April 2015,
1169,Dale Steyn,4.0,38,2,12.0,MI,Wankhede Stadium,25 April 2015,
1170,Harshal Patel,4.0,19,2,12.0,CSK,Chidambaram,04 May 2015,
1171,Beuran Hendricks,4.0,40,2,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015,
1172,Sreenath Aravind,4.0,20,2,12.0,RR,Maharashtra Cricket Association's International Stadium,20 May 2015,
1173,Axar Patel,4.0,30,2,12.0,MI,Wankhede Stadium,12 April 2015,
1174,Iqbal Abdulla,4.0,36,2,12.0,CSK,M. Chinnaswamy Stadium,22 April 2015,
1175,Lasith Malinga,4.0,17,2,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015,
1176,Piyush Chawla,4.0,26,2,12.0,CSK,Chidambaram,28 April 2015,
1177,Pawan Negi,4.0,25,2,12.0,PBKS,IS Bindra Stadium,16 May 2015,
1178,Dwayne Bravo,4.0,30,2,12.0,MI,Wankhede Stadium,17 April 2015,
1179,Ravichandran Ashwin,4.0,14,2,12.0,PBKS,Chidambaram,25 April 2015,
1180,Ishwar Pandey,4.0,28,2,12.0,RCB,Chidambaram,04 May 2015,
1181,Lasith Malinga,4.0,31,2,12.0,PBKS,IS Bindra Stadium,03 May 2015,
1182,Dhawal Kulkarni,4.0,28,2,12.0,RCB,Maharashtra Cricket Association's International Stadium,20 May 2015,
1183,Axar Patel,4.0,30,2,12.0,RR,Narendra Modi Stadium,21 April 2015,
1184,Dwayne Bravo,4.0,36,2,12.0,DC,Chidambaram,09 April 2015,
1185,Nathan Coulter-Nile,4.0,30,2,12.0,MI,Wankhede Stadium,05 May 2015,
1186,Pravin Tambe,4.0,21,2,12.0,SRH,ACA-VDCA Stadium,16 April 2015,
1187,Praveen Kumar,4.0,35,2,12.0,MI,Wankhede Stadium,25 April 2015,
1188,Yuzvendra Chahal,4.0,28,2,12.0,CSK,JSCA Stadium,22 May 2015,
1189,Lasith Malinga,4.0,34,2,12.0,PBKS,Wankhede Stadium,12 April 2015,
1190,Mitchell McClenaghan,4.0,38,2,12.0,DC,Arun Jaitley Stadium,23 April 2015,
1191,Harbhajan Singh,4.0,26,2,12.0,CSK,Wankhede Stadium,19 May 2015,
1192,Dwayne Bravo,4.0,25,2,12.0,SRH,Chidambaram,11 April 2015,
1193,Piyush Chawla,4.0,27,2,12.0,DC,Arun Jaitley Stadium,20 April 2015,
1194,Andre Russell,4.0,26,2,12.0,CSK,Chidambaram,28 April 2015,
1195,Harbhajan Singh,4.0,44,2,12.0,CSK,Wankhede Stadium,17 April 2015,
1196,Karn Sharma,4.0,29,2,12.0,KKR,Eden Gardens,04 May 2015,
1197,Zaheer Khan,4.0,9,2,12.0,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015,
1198,Harbhajan Singh,4.0,34,2,12.0,CSK,Eden Gardens,24 May 2015,
1199,Sachin Baby,0.4,4,2,2.0,GL,M. Chinnaswamy Stadium,14 May 2016,
1200,Adam Zampa,4.0,19,6,4.0,SRH,ACA-VDCA Stadium,10 May 2016,
1201,Chris Jordan,3.0,11,4,4.5,GL,M. Chinnaswamy Stadium,14 May 2016,
1202,Yuzvendra Chahal,3.0,25,4,4.5,PBKS,M. Chinnaswamy Stadium,18 May 2016,
1203,Amit Mishra,3.0,11,4,4.5,PBKS,Arun Jaitley Stadium,15 April 2016,
1204,Dwayne Smith,4.0,8,4,6.0,KKR,Green Park,19 May 2016,
1205,Marcus Stoinis,4.0,15,4,6.0,MI,ACA-VDCA Stadium,13 May 2016,
1206,Bhuvneshwar Kumar,4.0,29,4,6.0,GL,Saurashtra Cricket Association Stadium,21 April 2016,
1207,Dhawal Kulkarni,4.0,14,4,6.0,RCB,M. Chinnaswamy Stadium,24 May 2016,
1208,Mitchell McClenaghan,4.0,21,4,6.0,GL,Wankhede Stadium,16 April 2016,
1209,Axar Patel,4.0,21,4,6.0,GL,Saurashtra Cricket Association Stadium,01 May 2016,
1210,Dwayne Bravo,4.0,22,4,6.0,PBKS,IS Bindra Stadium,11 April 2016,
1211,Ravichandran Ashwin,4.0,34,4,6.0,PBKS,ACA-VDCA Stadium,21 May 2016,
1212,Andre Russell,4.0,20,4,6.0,PBKS,Eden Gardens,04 May 2016,
1213,Shane Watson,4.0,29,4,6.0,GL,M. Chinnaswamy Stadium,24 May 2016,
1214,Andre Russell,3.0,24,3,6.0,DC,Eden Gardens,10 April 2016,
1215,Mustafizur Rahman,3.0,16,3,6.0,MI,ACA-VDCA Stadium,08 May 2016,
1216,Kane Richardson,3.0,13,3,6.0,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016,
1217,Ashish Nehra,3.0,15,3,6.0,MI,ACA-VDCA Stadium,08 May 2016,
1218,Umesh Yadav,3.0,33,3,6.0,DC,Arun Jaitley Stadium,30 April 2016,
1219,Chris Gayle,2.0,11,2,6.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016,
1220,Sreenath Aravind,2.0,18,2,6.0,PBKS,M. Chinnaswamy Stadium,18 May 2016,
1221,Deepak Hooda,2.0,16,2,6.0,KKR,Eden Gardens,22 May 2016,
1222,Ravichandran Ashwin,2.0,30,2,6.0,KKR,Eden Gardens,14 May 2016,
1223,Gurkeerat Mann Singh,2.0,15,2,6.0,RPS,ACA-VDCA Stadium,21 May 2016,
1224,Pravin Tambe,2.0,12,2,6.0,MI,Wankhede Stadium,16 April 2016,
1225,Shane Watson,2.0,7,2,6.0,PBKS,M. Chinnaswamy Stadium,18 May 2016,
1226,Krunal Pandya,2.1,15,2,6.5,DC,ACA-VDCA Stadium,15 May 2016,
1227,Zaheer Khan,3.3,21,3,7.0,KKR,Arun Jaitley Stadium,30 April 2016,
1228,Iqbal Abdulla,4.0,40,3,8.0,MI,Wankhede Stadium,20 April 2016,
1229,Chris Jordan,4.0,45,3,8.0,SRH,M. Chinnaswamy Stadium,29 May 2016,
1230,Umesh Yadav,4.0,28,3,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,16 April 2016,
1231,Yuzvendra Chahal,4.0,32,3,8.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016,
1232,Carlos Brathwaite,4.0,43,3,8.0,KKR,Arun Jaitley Stadium,30 April 2016,
1233,Imran Tahir,4.0,24,3,8.0,GL,Arun Jaitley Stadium,27 April 2016,
1234,Adam Zampa,4.0,21,3,8.0,DC,ACA-VDCA Stadium,17 May 2016,
1235,Tim Southee,4.0,24,3,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016,
1236,Mohit Sharma,4.0,38,3,8.0,MI,IS Bindra Stadium,25 April 2016,
1237,Jasprit Bumrah,4.0,13,3,8.0,DC,ACA-VDCA Stadium,15 May 2016,
1238,Ashish Nehra,4.0,29,3,8.0,RPS,ACA-VDCA Stadium,10 May 2016,
1239,Mohit Sharma,4.0,23,3,8.0,RPS,IS Bindra Stadium,17 April 2016,
1240,Marcus Stoinis,4.0,40,3,8.0,DC,IS Bindra Stadium,07 May 2016,
1241,Shivil Kaushik,4.0,20,3,8.0,PBKS,Saurashtra Cricket Association Stadium,01 May 2016,
1242,Barinder Sran,4.0,28,3,8.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016,
1243,Andre Russell,4.0,26,3,8.0,DC,Arun Jaitley Stadium,30 April 2016,
1244,Bhuvneshwar Kumar,4.0,19,3,8.0,KKR,Arun Jaitley Stadium,25 May 2016,
1245,Ashok Dinda,4.0,23,3,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,26 April 2016,
1246,Brad Hogg,4.0,19,3,8.0,DC,Eden Gardens,10 April 2016,
1247,Jasprit Bumrah,4.0,31,3,8.0,RCB,Wankhede Stadium,20 April 2016,
1248,Murugan Ashwin,4.0,36,3,8.0,PBKS,IS Bindra Stadium,17 April 2016,
1249,Jasprit Bumrah,4.0,26,3,8.0,PBKS,IS Bindra Stadium,25 April 2016,
1250,Jasprit Bumrah,4.0,29,3,8.0,RPS,Maharashtra Cricket Association's International Stadium,01 May 2016,
1251,Mohit Sharma,4.0,32,3,8.0,GL,Saurashtra Cricket Association Stadium,01 May 2016,
1252,Kuldeep Yadav,4.0,35,3,8.0,SRH,Arun Jaitley Stadium,25 May 2016,
1253,Thisara Perera,4.0,34,3,8.0,RCB,Maharashtra Cricket Association's International Stadium,22 April 2016,
1254,Sunil Narine,4.0,26,3,8.0,SRH,Eden Gardens,22 May 2016,
1255,Dhawal Kulkarni,4.0,19,3,8.0,DC,Arun Jaitley Stadium,27 April 2016,
1256,Shane Watson,4.0,24,3,8.0,RPS,M. Chinnaswamy Stadium,07 May 2016,
1257,Ashok Dinda,4.0,20,3,8.0,DC,ACA-VDCA Stadium,17 May 2016,
1258,Yuzvendra Chahal,4.0,19,3,8.0,GL,M. Chinnaswamy Stadium,14 May 2016,
1259,John Hastings,2.4,6,2,8.0,DC,Eden Gardens,10 April 2016,
1260,Praveen Kumar,2.5,25,2,8.5,PBKS,Saurashtra Cricket Association Stadium,01 May 2016,
1261,Moises Henriques,3.0,19,2,9.0,DC,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016,
1262,KC Cariappa,3.0,16,2,9.0,RCB,IS Bindra Stadium,09 May 2016,
1263,Vinay Kumar,3.0,17,2,9.0,GL,Green Park,21 May 2016,
1264,Moises Henriques,3.0,17,2,9.0,KKR,Arun Jaitley Stadium,25 May 2016,
1265,Mitchell McClenaghan,3.0,24,2,9.0,PBKS,ACA-VDCA Stadium,13 May 2016,
1266,Axar Patel,3.0,19,2,9.0,KKR,IS Bindra Stadium,19 April 2016,
1267,Amit Mishra,3.0,19,2,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016,
1268,Shahbaz Nadeem,3.0,23,2,9.0,GL,Saurashtra Cricket Association Stadium,03 May 2016,
1269,Dwayne Bravo,3.0,14,2,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016,
1270,Ben Cutting,3.0,20,2,9.0,GL,Arun Jaitley Stadium,27 May 2016,
1271,Albie Morkel,3.0,36,2,9.0,KKR,Maharashtra Cricket Association's International Stadium,24 April 2016,
1272,Thisara Perera,3.3,28,2,10.5,KKR,Maharashtra Cricket Association's International Stadium,24 April 2016,
1273,Barinder Sran,3.3,18,2,10.5,MI,ACA-VDCA Stadium,08 May 2016,
1274,Varun Aaron,3.4,37,2,11.0,MI,M. Chinnaswamy Stadium,11 May 2016,
1275,Dwayne Bravo,4.0,33,2,12.0,PBKS,Saurashtra Cricket Association Stadium,01 May 2016,
1276,Dhawal Kulkarni,4.0,41,2,12.0,MI,Green Park,21 May 2016,
1277,Shane Watson,4.0,25,2,12.0,DC,M. Chinnaswamy Stadium,17 April 2016,
1278,Ashok Dinda,4.0,40,2,12.0,GL,Maharashtra Cricket Association's International Stadium,29 April 2016,
1279,Jason Holder,4.0,33,2,12.0,SRH,Arun Jaitley Stadium,25 May 2016,
1280,Tim Southee,4.0,28,2,12.0,PBKS,IS Bindra Stadium,25 April 2016,
1281,Dhawal Kulkarni,4.0,17,2,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016,
1282,Chris Morris,4.0,34,2,12.0,MI,ACA-VDCA Stadium,15 May 2016,
1283,Mustafizur Rahman,4.0,26,2,12.0,RCB,M. Chinnaswamy Stadium,12 April 2016,
1284,Mitchell McClenaghan,4.0,31,2,12.0,DC,Arun Jaitley Stadium,23 April 2016,
1285,Morne Morkel,4.0,28,2,12.0,RCB,M. Chinnaswamy Stadium,02 May 2016,
1286,Ishant Sharma,4.0,36,2,12.0,MI,Wankhede Stadium,09 April 2016,
1287,Pradeep Sahu,4.0,18,2,12.0,KKR,IS Bindra Stadium,19 April 2016,
1288,Dwayne Bravo,4.0,32,2,12.0,SRH,Arun Jaitley Stadium,27 May 2016,
1289,Sandeep Sharma,4.0,23,2,12.0,RPS,IS Bindra Stadium,17 April 2016,
1290,Chris Morris,4.0,30,2,12.0,PBKS,IS Bindra Stadium,07 May 2016,
1291,Pravin Tambe,4.0,33,2,12.0,RPS,Saurashtra Cricket Association Stadium,14 April 2016,
1292,Scott Boland,4.0,31,2,12.0,DC,Arun Jaitley Stadium,05 May 2016,
1293,Ravindra Jadeja,4.0,21,2,12.0,RCB,M. Chinnaswamy Stadium,24 May 2016,
1294,Nathan Coulter-Nile,4.0,25,2,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016,
1295,Bhuvneshwar Kumar,4.0,31,2,12.0,KKR,Eden Gardens,22 May 2016,
1296,Thisara Perera,4.0,41,2,12.0,GL,Maharashtra Cricket Association's International Stadium,29 April 2016,
1297,Harbhajan Singh,4.0,29,2,12.0,SRH,ACA-VDCA Stadium,08 May 2016,
1298,Barinder Sran,4.0,34,2,12.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,20 May 2016,
1299,Jasprit Bumrah,4.0,32,2,12.0,GL,Wankhede Stadium,16 April 2016,
1300,Mustafizur Rahman,4.0,17,2,12.0,GL,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016,
1301,Yuzvendra Chahal,4.0,43,2,12.0,SRH,M. Chinnaswamy Stadium,12 April 2016,
1302,Amit Mishra,4.0,24,2,12.0,MI,Arun Jaitley Stadium,23 April 2016,
1303,Yuzvendra Chahal,4.0,27,2,12.0,KKR,M. Chinnaswamy Stadium,02 May 2016,
1304,Mitchell Marsh,4.0,21,2,12.0,MI,Wankhede Stadium,09 April 2016,
1305,Kane Richardson,4.0,45,2,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016,
1306,Dwayne Bravo,4.0,22,2,12.0,MI,Green Park,21 May 2016,
1307,Shivil Kaushik,4.0,22,2,12.0,SRH,Arun Jaitley Stadium,27 May 2016,
1308,Chris Morris,4.0,35,2,12.0,GL,Arun Jaitley Stadium,27 April 2016,
1309,Ravindra Jadeja,4.0,18,2,12.0,RPS,Saurashtra Cricket Association Stadium,14 April 2016,
1310,Rajat Bhatia,4.0,19,2,12.0,KKR,Maharashtra Cricket Association's International Stadium,24 April 2016,
1311,Rajat Bhatia,4.0,22,2,12.0,DC,Arun Jaitley Stadium,05 May 2016,
1312,Piyush Chawla,4.0,21,2,12.0,RPS,Eden Gardens,14 May 2016,
1313,Ravindra Jadeja,4.0,30,2,12.0,PBKS,IS Bindra Stadium,11 April 2016,
1314,Praveen Kumar,4.0,19,2,12.0,KKR,Eden Gardens,08 May 2016,
1315,Carlos Brathwaite,4.0,27,2,12.0,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,20 May 2016,
1316,Bhuvneshwar Kumar,4.0,28,2,12.0,GL,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016,
1317,Shane Watson,4.0,30,2,12.0,SRH,M. Chinnaswamy Stadium,12 April 2016,
1318,Moises Henriques,4.0,33,2,12.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,23 April 2016,
1319,Praveen Kumar,4.0,45,2,12.0,RCB,M. Chinnaswamy Stadium,14 May 2016,
1320,Iqbal Abdulla,4.0,38,2,12.0,GL,M. Chinnaswamy Stadium,24 May 2016,
1321,Praveen Kumar,4.0,24,2,12.0,MI,Green Park,21 May 2016,
1322,Ben Cutting,4.0,35,2,12.0,RCB,M. Chinnaswamy Stadium,29 May 2016,
1323,Sunil Narine,4.0,22,2,12.0,MI,Wankhede Stadium,28 April 2016,
1324,Imran Tahir,4.0,26,2,12.0,RPS,Arun Jaitley Stadium,05 May 2016,
1325,Morne Morkel,4.0,31,2,12.0,SRH,Arun Jaitley Stadium,25 May 2016,
1326,Shane Watson,4.0,31,2,12.0,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016,
1327,Sandeep Sharma,4.0,11,2,12.0,MI,ACA-VDCA Stadium,13 May 2016,
1328,Kuldeep Yadav,4.0,28,2,12.0,SRH,Eden Gardens,22 May 2016,
1329,Morne Morkel,4.0,27,2,12.0,PBKS,IS Bindra Stadium,19 April 2016,
1330,Shane Watson,4.0,22,2,12.0,PBKS,IS Bindra Stadium,09 May 2016,
1331,Bhuvneshwar Kumar,4.0,27,2,12.0,GL,Arun Jaitley Stadium,27 May 2016,
1332,Mitchell Marsh,4.0,14,2,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,26 April 2016,
1333,Adam Zampa,4.0,35,2,12.0,RCB,M. Chinnaswamy Stadium,07 May 2016,
1334,Sreenath Aravind,4.0,41,2,12.0,KKR,Eden Gardens,16 May 2016,
1335,Mitchell McClenaghan,4.0,25,2,12.0,KKR,Eden Gardens,13 April 2016,
1336,Mustafizur Rahman,4.0,9,2,12.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,23 April 2016,
1337,Piyush Chawla,4.0,27,2,12.0,PBKS,Eden Gardens,04 May 2016,
1338,Chris Jordan,4.0,26,2,12.0,GL,M. Chinnaswamy Stadium,24 May 2016,
1339,Piyush Chawla,4.0,21,2,12.0,DC,Eden Gardens,10 April 2016,
1340,Krunal Pandya,4.0,27,2,12.0,RCB,Wankhede Stadium,20 April 2016,
1341,Dwayne Smith,4.0,37,2,12.0,MI,Green Park,21 May 2016,
1342,Sreenath Aravind,4.0,30,2,12.0,SRH,M. Chinnaswamy Stadium,29 May 2016,
1343,Mohammad Shami,4.0,34,2,12.0,RCB,M. Chinnaswamy Stadium,17 April 2016,
1344,Tim Southee,4.0,38,2,12.0,KKR,Wankhede Stadium,28 April 2016,
1345,Morne Morkel,4.0,35,2,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,16 April 2016,
1346,Mitchell McClenaghan,4.0,32,2,12.0,PBKS,IS Bindra Stadium,25 April 2016,
1347,Bhuvneshwar Kumar,4.0,32,2,12.0,PBKS,IS Bindra Stadium,15 May 2016,
1348,Bhuvneshwar Kumar,4.0,55,2,12.0,RCB,M. Chinnaswamy Stadium,12 April 2016,
1349,Pawan Negi,1.0,3,2,3.0,DC,M. Chinnaswamy Stadium,08 April 2017,
1350,Colin de Grandhomme,1.4,4,3,3.33,RCB,Eden Gardens,23 April 2017,
1351,Chris Woakes,2.0,6,3,4.0,RCB,Eden Gardens,23 April 2017,
1352,Pawan Negi,2.0,10,3,4.0,DC,Arun Jaitley Stadium,14 May 2017,
1353,Andrew Tye,4.0,17,5,4.8,RPS,Saurashtra Cricket Association Stadium,14 April 2017,
1354,Bhuvneshwar Kumar,4.0,19,5,4.8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017,
1355,Jaydev Unadkat,4.0,30,5,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2017,
1356,Samuel Badree,4.0,9,4,6.0,MI,M. Chinnaswamy Stadium,14 April 2017,
1357,Sandeep Sharma,4.0,20,4,6.0,DC,IS Bindra Stadium,30 April 2017,
1358,Chris Morris,4.0,26,4,6.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017,
1359,Karn Sharma,4.0,16,4,6.0,KKR,M. Chinnaswamy Stadium,19 May 2017,
1360,Umesh Yadav,4.0,33,4,6.0,PBKS,Eden Gardens,13 April 2017,
1361,Siddarth Kaul,4.0,29,4,6.0,RPS,Rajiv Gandhi Intl. Cricket Stadium,06 May 2017,
1362,Mohammed Siraj,4.0,32,4,6.0,GL,Green Park,13 May 2017,
1363,Jasprit Bumrah,3.0,7,3,6.0,KKR,M. Chinnaswamy Stadium,19 May 2017,
1364,Zaheer Khan,3.0,20,3,6.0,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017,
1365,Axar Patel,3.0,11,3,6.0,RCB,M. Chinnaswamy Stadium,05 May 2017,
1366,Amit Mishra,3.0,11,3,6.0,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017,
1367,Nathan Coulter-Nile,3.0,21,3,6.0,RCB,Eden Gardens,23 April 2017,
1368,Varun Aaron,2.0,3,2,6.0,DC,IS Bindra Stadium,30 April 2017,
1369,Shahbaz Nadeem,2.0,13,2,6.0,PBKS,Arun Jaitley Stadium,15 April 2017,
1370,Washington Sundar,2.0,18,2,6.0,KKR,Eden Gardens,03 May 2017,
1371,Dan Christian,2.0,10,2,6.0,PBKS,Maharashtra Cricket Association's International Stadium,14 May 2017,
1372,Lasith Malinga,2.0,5,2,6.0,DC,Arun Jaitley Stadium,06 May 2017,
1373,Karn Sharma,3.4,11,3,7.33,DC,Arun Jaitley Stadium,06 May 2017,
1374,Jaydev Unadkat,3.5,29,3,7.66,GL,Maharashtra Cricket Association's International Stadium,01 May 2017,
1375,Mitchell Johnson,4.0,26,3,8.0,RPS,Rajiv Gandhi Intl. Cricket Stadium,21 May 2017,
1376,Shardul Thakur,4.0,37,3,8.0,MI,Wankhede Stadium,16 May 2017,
1377,Yuzvendra Chahal,4.0,31,3,8.0,GL,Saurashtra Cricket Association Stadium,18 April 2017,
1378,Chris Morris,4.0,21,3,8.0,RCB,M. Chinnaswamy Stadium,08 April 2017,
1379,Shardul Thakur,4.0,35,3,8.0,RCB,M. Chinnaswamy Stadium,16 April 2017,
1380,Jasprit Bumrah,4.0,24,3,8.0,SRH,Wankhede Stadium,12 April 2017,
1381,Ben Stokes,4.0,30,3,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2017,
1382,Rashid Khan,4.0,19,3,8.0,GL,Rajiv Gandhi Intl. Cricket Stadium,09 April 2017,
1383,Rashid Khan,4.0,34,3,8.0,GL,Green Park,13 May 2017,
1384,Washington Sundar,4.0,16,3,8.0,MI,Wankhede Stadium,16 May 2017,
1385,Umesh Yadav,4.0,36,3,8.0,RCB,M. Chinnaswamy Stadium,07 May 2017,
1386,Shardul Thakur,4.0,19,3,8.0,PBKS,Maharashtra Cricket Association's International Stadium,14 May 2017,
1387,Ben Stokes,4.0,18,3,8.0,RCB,M. Chinnaswamy Stadium,16 April 2017,
1388,Bhuvneshwar Kumar,4.0,21,3,8.0,MI,Wankhede Stadium,12 April 2017,
1389,Harbhajan Singh,4.0,22,3,8.0,DC,Arun Jaitley Stadium,06 May 2017,
1390,Nathan Coulter-Nile,4.0,34,3,8.0,DC,Eden Gardens,28 April 2017,
1391,Sandeep Sharma,4.0,22,3,8.0,RCB,M. Chinnaswamy Stadium,05 May 2017,
1392,Imran Tahir,4.0,27,3,8.0,GL,Maharashtra Cricket Association's International Stadium,01 May 2017,
1393,Nathan Coulter-Nile,4.0,20,3,8.0,SRH,M. Chinnaswamy Stadium,17 May 2017,
1394,Imran Tahir,4.0,18,3,8.0,RCB,Maharashtra Cricket Association's International Stadium,29 April 2017,
1395,Nathan Coulter-Nile,4.0,22,3,8.0,DC,Arun Jaitley Stadium,17 April 2017,
1396,Andrew Tye,4.0,12,3,8.0,RCB,M. Chinnaswamy Stadium,27 April 2017,
1397,Chris Morris,4.0,23,3,8.0,PBKS,Arun Jaitley Stadium,15 April 2017,
1398,Yuzvendra Chahal,4.0,16,3,8.0,KKR,Eden Gardens,23 April 2017,
