,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
59,Jacob Oram,4,4,16.0,149,3,3/32,49.66,9.31,32.0,0,0
60,Gajendra Singh,4,4,14.0,141,3,1/33,47.0,10.07,28.0,0,0
61,Virender Sehwag,14,7,11.0,133,3,1/2,44.33,12.09,22.0,0,0
62,Daniel Vettori,2,2,8.0,54,2,1/19,27.0,6.75,24.0,0,0
63,Dimitri Mascarenhas,1,1,4.0,29,2,2/29,14.5,7.25,12.0,0,0
64,Balachandra Akhil,7,6,17.2,134,2,2/17,67.0,7.73,52.0,0,0
65,Virat Kohli,13,4,7.4,61,2,2/25,30.5,7.95,23.0,0,0
66,Nuwan Zoysa,3,3,11.0,99,2,1/30,49.5,9.0,33.0,0,0
67,Venugopal Rao,11,7,14.0,137,2,2/25,68.5,9.78,42.0,0,0
68,Siddharth Chitnis,3,2,6.0,60,2,2/40,30.0,10.0,18.0,0,0
69,Shoaib Malik,7,5,8.3,85,2,1/6,42.5,10.0,25.5,0,0
70,David Hussey,13,5,13.0,130,2,1/23,65.0,10.0,39.0,0,0
71,Musavir Khote,4,2,5.0,51,2,2/29,25.5,10.2,15.0,0,0
72,Doddapaneni Kalyankrishna,3,3,8.0,87,2,1/30,43.5,10.87,24.0,0,0
73,Tillakaratne Dilshan,7,1,1.0,3,1,1/3,3.0,3.0,6.0,0,0
74,Mohammad Hafeez,8,2,5.0,24,1,1/8,24.0,4.8,30.0,0,0
75,Ajantha Mendis,1,1,4.0,24,1,1/24,24.0,6.0,24.0,0,0
76,Rohit Sharma,13,1,4.0,25,1,1/25,25.0,6.25,24.0,0,0
77,PM Sarvesh Kumar,2,2,5.0,42,1,1/18,42.0,8.4,30.0,0,0
78,Sunil Joshi,4,4,9.1,82,1,1/27,82.0,8.94,55.0,0,0
79,Suresh Raina,16,2,3.2,30,1,1/20,30.0,9.0,20.0,0,0
80,Dwaraka Ravi Teja,7,1,2.0,19,1,1/19,19.0,9.5,12.0,0,0
81,Abhishek Nayar,14,5,7.0,68,1,1/18,68.0,9.71,42.0,0,0
82,Dinesh Salunkhe,6,5,7.5,78,1,1/21,78.0,9.95,47.0,0,0
83,Ashley Noffke,1,1,4.0,40,1,1/40,40.0,10.0,24.0,0,0
84,Andre Nel,1,1,3.0,31,1,1/31,31.0,10.33,18.0,0,0
85,Vidyut Sivaramakrishnan,9,1,2.0,22,1,1/22,22.0,11.0,12.0,0,0
86,Brett Geeves,2,2,8.0,91,1,1/50,91.0,11.37,48.0,0,0
87,Wilkin Mota,4,2,3.0,36,1,1/24,36.0,12.0,18.0,0,0
88,Iqbal Abdulla,1,1,3.0,22,0,0/22,0.0,7.33,0.0,0,0
89,Ravindra Jadeja,14,2,2.1,21,0,0/0,0.0,9.69,0.0,0,0
90,Pankaj Singh,5,5,12.0,129,0,0/12,0.0,10.75,0.0,0,0
91,Vikrant Yeligati,2,2,5.0,59,0,0/16,0.0,11.8,0.0,0,0
92,Karan Goel,7,1,2.0,25,0,0/25,0.0,12.5,0.0,0,0
93,Abdur Razzak,1,1,2.0,29,0,0/29,0.0,14.5,0.0,0,0
94,Andrew Symonds,4,3,6.5,101,0,0/20,0.0,14.78,0.0,0,0
95,Chamara Kapugedera,5,3,2.5,49,0,0/8,0.0,17.29,0.0,0,0
96,LPC Silva,3,1,1.0,21,0,0/21,0.0,21.0,0.0,0,0
97,Cameron White,8,1,1.0,24,0,0/24,0.0,24.0,0.0,0,0
98,RP Singh,16,16,59.4,417,23,4/22,18.13,6.98,15.56,1,0
99,Anil Kumble,16,16,59.1,347,21,5/5,16.52,5.86,16.9,1,1
100,Lasith Malinga,13,13,49.3,312,18,3/11,17.33,6.3,16.5,0,0
101,Pragyan Ojha,15,15,53.3,348,18,3/21,19.33,6.5,17.83,0,0
102,Irfan Pathan,14,14,50.2,390,17,3/35,22.94,7.74,17.76,0,0
103,Munaf Patel,11,11,34.5,241,16,2/14,15.06,6.91,13.06,0,0
104,Muttiah Muralitharan,13,13,50.0,261,14,3/11,18.64,5.22,21.42,0,0
105,Amit Mishra,11,11,42.1,294,14,3/14,21.0,6.97,18.07,0,0
106,Shane Warne,13,13,50.0,365,14,3/24,26.07,7.3,21.42,0,0
107,Yusuf Abdulla,9,9,28.0,241,14,4/31,17.21,8.6,12.0,2,0
108,Shadab Jakati,9,8,29.0,217,13,4/22,16.69,7.48,13.38,2,0
109,Praveen Kumar,13,13,49.4,394,13,3/30,30.3,7.93,22.92,0,0
110,Albie Morkel,12,12,40.0,324,13,2/13,24.92,8.1,18.46,0,0
111,Lakshmipathy Balaji,13,13,37.2,316,13,4/21,24.3,8.46,17.23,1,0
112,Harbhajan Singh,13,13,44.0,256,12,4/17,21.33,5.81,22.0,1,0
113,Piyush Chawla,14,14,44.5,308,12,2/22,25.66,6.86,22.41,0,0
