Season,Name,Nationality,Type,Team,Price
2022,Rajvardhan Hangargekar ,Indian ,All-Rounder , Chennai Super Kings,"1,50,00,000 "
2022,Simarjeet Singh ,Indian ,Bowler , Chennai Super Kings,"20,00,000 "
2022,Devon Conway ,Overseas ,Batsman , Chennai Super Kings,"1,00,00,000 "
2022,Dwaine Pretorius ,Overseas ,All-Rounder , Chennai Super Kings,"50,00,000 "
2022,Mitchell Santner ,Overseas ,All-Rounder , Chennai Super Kings,"1,90,00,000 "
2022,Adam Milne ,Overseas ,Bowler , Chennai Super Kings,"1,90,00,000 "
2022,Subhranshu Senapati ,Indian ,Batsman , Chennai Super Kings,"20,00,000 "
2022,Mukesh Choudhary ,Indian ,Bowler , Chennai Super Kings,"20,00,000 "
2022,Prashant Solanki ,Indian ,Bowler , Chennai Super Kings,"1,20,00,000 "
2022,K.Bhagath Varma ,Indian ,All-Rounder , Chennai Super Kings,"20,00,000 "
2022,David Warner ,Overseas ,Batsman , Delhi Capitals,"6,25,00,000 "
2022,Mitchell Marsh ,Overseas ,All-Rounder , Delhi Capitals,"6,50,00,000 "
2022,Mustafizur Rahman ,Overseas ,Bowler , Delhi Capitals,"2,00,00,000 "
2022,Shardul Thakur ,Indian ,Bowler , Delhi Capitals,"10,75,00,000 "
2022,Kuldeep Yadav ,Indian ,Bowler , Delhi Capitals,"2,00,00,000 "
2022,Ashwin Hebbar ,Indian ,Batsman , Delhi Capitals,"20,00,000 "
2022,Sarfaraz Khan ,Indian ,All-Rounder , Delhi Capitals,"20,00,000 "
2022,Kamlesh Nagarkoti ,Indian ,All-Rounder , Delhi Capitals,"1,10,00,000 "
2022,K.S. Bharat ,Indian ,Wicket Keeper , Delhi Capitals,"2,00,00,000 "
2022,Mandeep Singh ,Indian ,Batsman , Delhi Capitals,"1,10,00,000 "
2022,Syed Khaleel Ahmed ,Indian ,Bowler , Delhi Capitals,"5,25,00,000 "
2022,Lungisani Ngidi ,Overseas ,Bowler , Delhi Capitals,"50,00,000 "
2022,Chetan Sakariya ,Indian ,Bowler , Delhi Capitals,"4,20,00,000 "
2022,Yash Dhull ,Indian ,All-Rounder , Delhi Capitals,"50,00,000 "
2022,Vicky Ostwal ,Indian ,All-Rounder , Delhi Capitals,"20,00,000 "
2022,Ripal Patel ,Indian ,All-Rounder , Delhi Capitals,"20,00,000 "
2022,Lalit Yadav ,Indian ,All-Rounder , Delhi Capitals,"65,00,000 "
2022,Rovman Powell ,Overseas ,Batsman , Delhi Capitals,"2,80,00,000 "
2022,Tim Seifert ,Overseas ,Wicket Keeper , Delhi Capitals,"50,00,000 "
2022,Pravin Dubey ,Indian ,All-Rounder , Delhi Capitals,"50,00,000 "
2022,Mohammad Shami ,Indian ,Bowler , Gujarat Titans,"6,25,00,000 "
2022,David Miller ,Overseas ,Batsman , Gujarat Titans,"3,00,00,000 "
2022,Jason Roy  ,Overseas ,Batsman , Gujarat Titans,"2,00,00,000 "
2022,Wriddhiman  Saha ,Indian ,Wicket Keeper , Gujarat Titans,"1,90,00,000 "
2022,Matthew Wade ,Overseas ,Wicket Keeper , Gujarat Titans,"2,40,00,000 "
2022,Lockie Ferguson ,Overseas ,Bowler , Gujarat Titans,"10,00,00,000 "
2022,Abhinav Sadarangani ,Indian ,Batsman , Gujarat Titans,"2,60,00,000 "
2022,Rahul Tewatia ,Indian ,All-Rounder , Gujarat Titans,"9,00,00,000 "
2022,Noor  Ahmad ,Overseas ,Bowler , Gujarat Titans,"30,00,000 "
2022,R. Sai Kishore ,Indian ,Bowler , Gujarat Titans,"3,00,00,000 "
2022,Dominic Drakes ,Overseas ,All-Rounder , Gujarat Titans,"1,10,00,000 "
2022,Vijay Shankar ,Indian ,All-Rounder , Gujarat Titans,"1,40,00,000 "
2022,Jayant Yadav ,Indian ,All-Rounder , Gujarat Titans,"1,70,00,000 "
2022,Darshan Nalkande ,Indian ,All-Rounder , Gujarat Titans,"20,00,000 "
2022,Yash  Dayal ,Indian ,Bowler , Gujarat Titans,"3,20,00,000 "
2022,B. Sai Sudharsan ,Indian ,All-Rounder , Gujarat Titans,"20,00,000 "
2022,Gurkeerat Singh ,Indian ,All-Rounder , Gujarat Titans,"50,00,000 "
2022,Alzarri Joseph ,Overseas ,Bowler , Gujarat Titans,"2,40,00,000 "
2022,Varun Aaron ,Indian ,Bowler , Gujarat Titans,"50,00,000 "
2022,Pradeep Sangwan ,Indian ,All-Rounder , Gujarat Titans,"20,00,000 "
2022,Pat Cummins ,Overseas ,All-Rounder , Kolkata Knight Riders,"7,25,00,000 "
